gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111112114,6,5,1
LOC111112117,6,5,1
LOC111112126,7,3,4
LOC111112129,5,4,1
LOC111112130,10,4,6
LOC111112131,12,7,5
LOC111112152,1,2,-1
LOC111112158,2,1,1
LOC111112163,1,2,-1
LOC111112167,1,0,1
LOC111112168,4,2,2
LOC111112173,1,2,-1
LOC111112178,2,1,1
LOC111112182,0,1,-1
LOC111112188,0,1,-1
LOC111112193,0,1,-1
LOC111112198,2,1,1
LOC111112201,2,3,-1
LOC111112202,3,4,-1
LOC111112204,4,3,1
LOC111112208,1,0,1
LOC111112211,2,1,1
LOC111112214,2,4,-2
LOC111112216,4,3,1
LOC111112221,3,2,1
LOC111112222,1,2,-1
LOC111112229,0,1,-1
LOC111112233,0,1,-1
LOC111112244,0,1,-1
LOC111112248,0,1,-1
LOC111112253,3,1,2
LOC111112255,0,1,-1
LOC111112257,0,1,-1
LOC111112260,5,4,1
LOC111112269,2,1,1
LOC111112272,2,1,1
LOC111112296,5,4,1
LOC111112301,9,2,7
LOC111112304,4,3,1
LOC111112307,14,11,3
LOC111112311,1,0,1
LOC111112312,3,1,2
LOC111112330,5,3,2
LOC111112350,6,4,2
LOC111112356,0,1,-1
LOC111112361,1,0,1
LOC111112365,2,1,1
LOC111112366,2,1,1
LOC111112373,0,1,-1
LOC111112374,3,1,2
LOC111112375,0,1,-1
LOC111112387,3,2,1
LOC111112400,6,3,3
LOC111112404,1,2,-1
LOC111112433,7,3,4
LOC111112440,1,2,-1
LOC111112450,1,2,-1
LOC111112452,3,2,1
LOC111112478,3,2,1
LOC111112487,4,5,-1
LOC111112490,6,5,1
LOC111112495,0,1,-1
LOC111112501,2,3,-1
LOC111112504,2,3,-1
LOC111112515,1,2,-1
LOC111112517,1,2,-1
LOC111112522,3,2,1
LOC111112524,0,2,-2
LOC111112525,0,1,-1
LOC111112535,1,0,1
LOC111112536,0,1,-1
LOC111112548,1,0,1
LOC111112558,4,3,1
LOC111112559,4,3,1
LOC111112565,1,2,-1
LOC111112567,1,0,1
LOC111112568,2,1,1
LOC111112570,2,1,1
LOC111112585,12,10,2
LOC111112603,5,2,3
LOC111112605,24,15,9
LOC111112609,2,0,2
LOC111112614,4,2,2
LOC111112615,2,1,1
LOC111112616,4,1,3
LOC111112619,2,1,1
LOC111112620,27,15,12
LOC111112624,4,3,1
LOC111112629,9,1,8
LOC111112635,4,2,2
LOC111112638,0,1,-1
LOC111112642,3,2,1
LOC111112646,1,2,-1
LOC111112650,2,1,1
LOC111112653,5,4,1
LOC111112655,11,7,4
LOC111112657,2,1,1
LOC111112666,1,3,-2
LOC111112671,2,1,1
LOC111112674,3,2,1
LOC111112685,4,5,-1
LOC111112687,2,1,1
LOC111112688,2,1,1
LOC111112699,5,4,1
LOC111112700,4,2,2
LOC111112706,3,2,1
LOC111112710,2,1,1
LOC111112720,9,4,5
LOC111112724,0,1,-1
LOC111112733,9,7,2
LOC111112735,1,0,1
LOC111112739,1,0,1
LOC111112744,6,4,2
LOC111112752,5,4,1
LOC111112757,0,1,-1
LOC111112762,1,2,-1
LOC111112766,1,2,-1
LOC111112767,2,1,1
LOC111112769,0,1,-1
LOC111112773,2,1,1
LOC111112774,2,3,-1
LOC111112775,2,1,1
LOC111112780,6,4,2
LOC111112781,4,3,1
LOC111112790,3,1,2
LOC111112791,3,2,1
LOC111112794,8,6,2
LOC111112803,3,6,-3
LOC111112806,6,5,1
LOC111112810,5,4,1
LOC111112811,6,4,2
LOC111112821,1,2,-1
LOC111112827,2,1,1
LOC111112829,3,2,1
LOC111112840,1,0,1
LOC111112846,5,3,2
LOC111112874,2,1,1
LOC111112883,4,2,2
LOC111112894,3,1,2
LOC111112898,4,2,2
LOC111112902,2,3,-1
LOC111112904,0,1,-1
LOC111112907,1,2,-1
LOC111112908,0,1,-1
LOC111112912,3,2,1
LOC111112915,4,3,1
LOC111112926,3,4,-1
LOC111112932,0,1,-1
LOC111112963,4,3,1
LOC111112964,2,1,1
LOC111112968,2,3,-1
LOC111112970,2,3,-1
LOC111112990,3,2,1
LOC111112991,10,6,4
LOC111112999,3,2,1
LOC111113003,3,2,1
LOC111113007,1,2,-1
LOC111113012,0,1,-1
LOC111113013,3,2,1
LOC111113019,3,2,1
LOC111113020,12,10,2
LOC111113025,1,2,-1
LOC111113031,2,1,1
LOC111113033,3,4,-1
LOC111113035,3,2,1
LOC111113038,2,3,-1
LOC111113040,3,2,1
LOC111113042,7,6,1
LOC111113048,1,2,-1
LOC111113053,1,2,-1
LOC111113054,3,2,1
LOC111113056,4,3,1
LOC111113057,2,3,-1
LOC111113069,1,2,-1
LOC111113074,0,1,-1
LOC111113075,1,2,-1
LOC111113083,1,0,1
LOC111113084,3,2,1
LOC111113086,7,2,5
LOC111113089,0,1,-1
LOC111113090,4,3,1
LOC111113100,2,1,1
LOC111113101,1,0,1
LOC111113102,0,1,-1
LOC111113107,3,1,2
LOC111113108,1,0,1
LOC111113109,3,2,1
LOC111113110,1,0,1
LOC111113124,4,3,1
LOC111113125,5,4,1
LOC111113129,9,5,4
LOC111113130,2,1,1
LOC111113134,4,3,1
LOC111113141,2,1,1
LOC111113151,0,1,-1
LOC111113156,0,1,-1
LOC111113157,7,1,6
LOC111113163,11,9,2
LOC111113166,1,2,-1
LOC111113172,2,3,-1
LOC111113173,12,9,3
LOC111113174,4,3,1
LOC111113175,14,12,2
LOC111113177,6,5,1
LOC111113178,4,3,1
LOC111113185,1,2,-1
LOC111113194,2,1,1
LOC111113202,1,2,-1
LOC111113208,5,2,3
LOC111113213,0,1,-1
LOC111113220,3,2,1
LOC111113221,2,1,1
LOC111113223,2,1,1
LOC111113225,3,2,1
LOC111113238,23,12,11
LOC111113240,2,1,1
LOC111113249,5,4,1
LOC111113256,3,2,1
LOC111113257,1,2,-1
LOC111113260,7,4,3
LOC111113267,3,2,1
LOC111113274,7,0,7
LOC111113275,1,0,1
LOC111113276,2,1,1
LOC111113290,2,1,1
LOC111113291,2,1,1
LOC111113316,5,3,2
LOC111113320,1,2,-1
LOC111113327,1,2,-1
LOC111113342,3,1,2
LOC111113349,1,2,-1
LOC111113351,0,1,-1
LOC111113352,5,3,2
LOC111113355,10,6,4
LOC111113358,6,4,2
LOC111113363,3,2,1
LOC111113366,2,1,1
LOC111113371,3,2,1
LOC111113381,3,2,1
LOC111113385,3,2,1
LOC111113399,5,3,2
LOC111113417,4,3,1
LOC111113418,2,1,1
LOC111113422,2,1,1
LOC111113428,8,6,2
LOC111113430,3,2,1
LOC111113440,1,3,-2
LOC111113443,2,1,1
LOC111113456,0,1,-1
LOC111113457,1,0,1
LOC111113463,1,0,1
LOC111113464,1,0,1
LOC111113465,1,0,1
LOC111113506,0,1,-1
LOC111113515,0,1,-1
LOC111113516,0,1,-1
LOC111113519,0,1,-1
LOC111113520,1,0,1
LOC111113524,2,3,-1
LOC111113554,5,4,1
LOC111113560,0,1,-1
LOC111113592,2,1,1
LOC111113611,1,0,1
LOC111113619,1,0,1
LOC111113632,0,1,-1
LOC111113642,0,1,-1
LOC111113645,0,1,-1
LOC111113647,0,1,-1
LOC111113665,1,0,1
LOC111113667,0,1,-1
LOC111113668,0,1,-1
LOC111113687,0,1,-1
LOC111113691,1,0,1
LOC111113693,0,1,-1
LOC111113694,0,1,-1
LOC111113696,0,1,-1
LOC111113746,0,1,-1
LOC111113757,0,1,-1
LOC111113760,0,1,-1
LOC111113769,0,1,-1
LOC111113772,0,1,-1
LOC111113776,0,1,-1
LOC111113784,0,1,-1
LOC111113791,0,1,-1
LOC111113792,0,1,-1
LOC111113810,1,0,1
LOC111113819,1,2,-1
LOC111113833,3,2,1
LOC111113835,0,1,-1
LOC111113839,1,0,1
LOC111113851,0,1,-1
LOC111113855,0,1,-1
LOC111113867,1,0,1
LOC111113871,1,2,-1
LOC111113875,0,1,-1
LOC111113884,0,1,-1
LOC111113906,1,0,1
LOC111113920,0,1,-1
LOC111114103,1,2,-1
LOC111114120,1,2,-1
LOC111114134,6,5,1
LOC111114137,1,0,1
LOC111114177,0,1,-1
LOC111114199,0,1,-1
LOC111114216,1,0,1
LOC111114226,0,1,-1
LOC111114239,0,1,-1
LOC111114240,3,2,1
LOC111114283,7,4,3
LOC111114312,0,1,-1
LOC111114346,4,3,1
LOC111114347,13,8,5
LOC111114364,0,1,-1
LOC111114373,0,1,-1
LOC111114375,0,1,-1
LOC111114390,0,1,-1
LOC111114401,1,0,1
LOC111114440,0,1,-1
LOC111114443,0,1,-1
LOC111114448,4,3,1
LOC111114459,6,3,3
LOC111114460,4,2,2
LOC111114467,2,1,1
LOC111114486,3,2,1
LOC111114491,3,2,1
LOC111114492,2,1,1
LOC111114495,4,0,4
LOC111114500,2,1,1
LOC111114503,2,1,1
LOC111114504,0,1,-1
LOC111114510,2,1,1
LOC111114511,0,1,-1
LOC111114518,2,1,1
LOC111114526,1,2,-1
LOC111114528,0,1,-1
LOC111114549,2,1,1
LOC111114553,2,1,1
LOC111114557,2,1,1
LOC111114566,1,2,-1
LOC111114568,1,2,-1
LOC111114587,3,2,1
LOC111114601,3,2,1
LOC111114603,1,2,-1
LOC111114616,4,2,2
LOC111114644,4,2,2
LOC111114647,2,1,1
LOC111114650,3,4,-1
LOC111114658,1,0,1
LOC111114664,2,1,1
LOC111114668,2,1,1
LOC111114669,5,4,1
LOC111114676,4,3,1
LOC111114682,1,2,-1
LOC111114692,2,1,1
LOC111114697,0,1,-1
LOC111114705,2,1,1
LOC111114711,2,3,-1
LOC111114714,4,3,1
LOC111114715,3,1,2
LOC111114722,1,2,-1
LOC111114724,2,3,-1
LOC111114725,2,1,1
LOC111114727,1,2,-1
LOC111114730,1,2,-1
LOC111114732,1,2,-1
LOC111114735,1,2,-1
LOC111114747,4,3,1
LOC111114752,0,1,-1
LOC111114753,3,2,1
LOC111114755,1,2,-1
LOC111114770,1,2,-1
LOC111114771,5,3,2
LOC111114781,1,2,-1
LOC111114790,2,1,1
LOC111114794,2,1,1
LOC111114802,2,1,1
LOC111114807,9,5,4
LOC111114820,4,2,2
LOC111114825,3,6,-3
LOC111114827,2,1,1
LOC111114842,4,3,1
LOC111114844,2,1,1
LOC111114851,1,2,-1
LOC111114853,3,1,2
LOC111114855,3,2,1
LOC111114859,2,3,-1
LOC111114862,3,1,2
LOC111114864,2,3,-1
LOC111114865,4,2,2
LOC111114875,0,1,-1
LOC111114879,2,1,1
LOC111114887,5,3,2
LOC111114891,2,1,1
LOC111114896,3,1,2
LOC111114900,5,6,-1
LOC111114902,4,2,2
LOC111114910,3,2,1
LOC111114913,9,3,6
LOC111114916,0,1,-1
LOC111114921,2,1,1
LOC111114929,2,3,-1
LOC111114947,6,3,3
LOC111114952,1,3,-2
LOC111114954,1,2,-1
LOC111114960,1,2,-1
LOC111114967,2,3,-1
LOC111114972,3,0,3
LOC111114977,4,5,-1
LOC111114985,1,2,-1
LOC111114994,1,2,-1
LOC111115005,3,2,1
LOC111115006,3,2,1
LOC111115007,1,0,1
LOC111115011,1,2,-1
LOC111115019,1,2,-1
LOC111115025,2,1,1
LOC111115032,0,1,-1
LOC111115039,0,1,-1
LOC111115054,1,0,1
LOC111115056,0,1,-1
LOC111115064,3,2,1
LOC111115070,0,1,-1
LOC111115081,0,1,-1
LOC111115083,0,1,-1
LOC111115084,2,4,-2
LOC111115091,1,2,-1
LOC111115092,4,2,2
LOC111115098,0,1,-1
LOC111115099,4,2,2
LOC111115100,2,1,1
LOC111115102,1,2,-1
LOC111115105,1,2,-1
LOC111115107,7,6,1
LOC111115118,2,1,1
LOC111115122,14,9,5
LOC111115123,9,6,3
LOC111115128,2,1,1
LOC111115129,3,2,1
LOC111115138,4,3,1
LOC111115142,1,0,1
LOC111115151,2,1,1
LOC111115154,1,2,-1
LOC111115160,1,0,1
LOC111115163,1,2,-1
LOC111115176,1,2,-1
LOC111115187,1,2,-1
LOC111115192,2,1,1
LOC111115196,0,1,-1
LOC111115202,1,2,-1
LOC111115203,2,3,-1
LOC111115235,2,1,1
LOC111115253,3,2,1
LOC111115255,4,3,1
LOC111115259,3,2,1
LOC111115260,3,2,1
LOC111115277,4,3,1
LOC111115290,0,1,-1
LOC111115293,0,1,-1
LOC111115295,0,1,-1
LOC111115297,0,1,-1
LOC111115301,7,5,2
LOC111115304,2,1,1
LOC111115306,5,4,1
LOC111115309,1,0,1
LOC111115313,0,1,-1
LOC111115315,0,1,-1
LOC111115320,0,1,-1
LOC111115324,3,2,1
LOC111115341,8,7,1
LOC111115342,3,8,-5
LOC111115351,0,1,-1
LOC111115353,3,1,2
LOC111115367,1,2,-1
LOC111115389,1,2,-1
LOC111115407,2,1,1
LOC111115408,2,1,1
LOC111115419,6,4,2
LOC111115422,2,1,1
LOC111115424,3,2,1
LOC111115434,1,2,-1
LOC111115436,0,1,-1
LOC111115441,10,9,1
LOC111115446,4,3,1
LOC111115447,1,0,1
LOC111115453,2,1,1
LOC111115457,1,0,1
LOC111115460,4,3,1
LOC111115471,3,1,2
LOC111115474,3,4,-1
LOC111115484,2,1,1
LOC111115500,6,2,4
LOC111115507,0,1,-1
LOC111115511,0,1,-1
LOC111115512,0,1,-1
LOC111115513,0,1,-1
LOC111115516,2,0,2
LOC111115530,2,1,1
LOC111115531,3,1,2
LOC111115540,4,3,1
LOC111115547,2,1,1
LOC111115549,1,3,-2
LOC111115550,1,2,-1
LOC111115551,6,4,2
LOC111115556,4,3,1
LOC111115566,1,2,-1
LOC111115579,2,3,-1
LOC111115599,3,2,1
LOC111115604,3,2,1
LOC111115605,2,1,1
LOC111115612,17,9,8
LOC111115627,2,1,1
LOC111115632,1,2,-1
LOC111115641,1,2,-1
LOC111115650,1,0,1
LOC111115654,0,1,-1
LOC111115655,1,2,-1
LOC111115663,2,0,2
LOC111115670,2,1,1
LOC111115675,4,3,1
LOC111115679,1,0,1
LOC111115682,2,3,-1
LOC111115698,2,3,-1
LOC111115699,3,2,1
LOC111115701,0,1,-1
LOC111115711,1,2,-1
LOC111115717,2,1,1
LOC111115735,2,1,1
LOC111115740,4,5,-1
LOC111115746,2,1,1
LOC111115761,1,2,-1
LOC111115765,2,1,1
LOC111115775,2,3,-1
LOC111115780,1,2,-1
LOC111115790,1,2,-1
LOC111115795,16,12,4
LOC111115797,2,1,1
LOC111115823,1,0,1
LOC111115824,3,1,2
LOC111115825,0,1,-1
LOC111115832,5,3,2
LOC111115835,0,1,-1
LOC111115837,1,0,1
LOC111115841,3,2,1
LOC111115842,2,1,1
LOC111115844,11,7,4
LOC111115851,2,3,-1
LOC111115871,4,3,1
LOC111115873,3,1,2
LOC111115876,2,3,-1
LOC111115877,0,1,-1
LOC111115878,3,1,2
LOC111115879,7,3,4
LOC111115888,0,1,-1
LOC111115890,1,2,-1
LOC111115892,0,1,-1
LOC111115894,3,4,-1
LOC111115896,8,7,1
LOC111115897,1,2,-1
LOC111115900,2,3,-1
LOC111115912,4,3,1
LOC111115920,3,6,-3
LOC111115921,1,2,-1
LOC111115934,1,0,1
LOC111115938,2,1,1
LOC111115940,2,1,1
LOC111115943,3,2,1
LOC111115949,2,3,-1
LOC111115951,0,1,-1
LOC111115955,2,1,1
LOC111115973,4,3,1
LOC111115981,2,1,1
LOC111115982,0,1,-1
LOC111115986,1,2,-1
LOC111115994,0,1,-1
LOC111115995,5,3,2
LOC111116005,1,2,-1
LOC111116011,2,3,-1
LOC111116033,2,1,1
LOC111116042,18,16,2
LOC111116053,3,0,3
LOC111116055,1,0,1
LOC111116059,2,1,1
LOC111116071,1,2,-1
LOC111116082,6,4,2
LOC111116084,1,2,-1
LOC111116087,2,1,1
LOC111116088,5,2,3
LOC111116096,0,1,-1
LOC111116098,6,3,3
LOC111116103,2,0,2
LOC111116110,2,1,1
LOC111116117,0,1,-1
LOC111116124,4,3,1
LOC111116125,1,2,-1
LOC111116128,4,2,2
LOC111116130,2,1,1
LOC111116142,2,1,1
LOC111116149,1,0,1
LOC111116175,0,1,-1
LOC111116193,1,2,-1
LOC111116201,1,2,-1
LOC111116204,2,1,1
LOC111116212,0,1,-1
LOC111116218,2,1,1
LOC111116220,3,2,1
LOC111116228,0,1,-1
LOC111116242,0,1,-1
LOC111116244,0,1,-1
LOC111116258,2,3,-1
LOC111116288,0,1,-1
LOC111116352,15,9,6
LOC111116495,0,1,-1
LOC111116502,0,1,-1
LOC111116507,0,1,-1
LOC111116517,0,1,-1
LOC111116519,9,6,3
LOC111116552,1,0,1
LOC111116558,1,0,1
LOC111116581,2,1,1
LOC111116607,13,10,3
LOC111116622,3,2,1
LOC111116624,0,1,-1
LOC111116626,1,2,-1
LOC111116628,2,1,1
LOC111116629,2,1,1
LOC111116630,3,2,1
LOC111116633,2,3,-1
LOC111116661,2,1,1
LOC111116665,3,2,1
LOC111116675,1,0,1
LOC111116681,0,1,-1
LOC111116690,0,1,-1
LOC111116713,4,3,1
LOC111116724,2,1,1
LOC111116725,1,2,-1
LOC111116730,2,1,1
LOC111116747,3,2,1
LOC111116752,6,2,4
LOC111116762,3,2,1
LOC111116769,3,2,1
LOC111116774,2,1,1
LOC111116775,1,0,1
LOC111116787,3,2,1
LOC111116790,3,2,1
LOC111116793,3,2,1
LOC111116795,5,4,1
LOC111116798,0,1,-1
LOC111116803,1,2,-1
LOC111116816,3,2,1
LOC111116831,1,2,-1
LOC111116833,1,0,1
LOC111116837,2,1,1
LOC111116840,5,3,2
LOC111116845,1,2,-1
LOC111116864,3,1,2
LOC111116869,8,10,-2
LOC111116870,3,2,1
LOC111116874,2,1,1
LOC111116875,2,1,1
LOC111116878,1,0,1
LOC111116888,1,2,-1
LOC111116896,0,1,-1
LOC111116900,0,1,-1
LOC111116901,0,1,-1
LOC111116907,0,2,-2
LOC111116908,2,3,-1
LOC111116919,2,1,1
LOC111116923,1,0,1
LOC111116926,2,1,1
LOC111116931,2,1,1
LOC111116933,3,2,1
LOC111116934,0,1,-1
LOC111116942,3,1,2
LOC111116957,0,1,-1
LOC111116964,1,0,1
LOC111116965,9,8,1
LOC111116982,2,1,1
LOC111116991,0,1,-1
LOC111116994,2,4,-2
LOC111117008,0,1,-1
LOC111117020,2,3,-1
LOC111117024,3,2,1
LOC111117040,5,3,2
LOC111117047,3,2,1
LOC111117062,3,1,2
LOC111117065,2,1,1
LOC111117069,2,1,1
LOC111117070,4,2,2
LOC111117076,0,1,-1
LOC111117079,0,1,-1
LOC111117083,5,4,1
LOC111117085,5,2,3
LOC111117101,2,1,1
LOC111117103,2,3,-1
LOC111117111,1,0,1
LOC111117113,2,1,1
LOC111117117,2,1,1
LOC111117141,0,1,-1
LOC111117155,0,1,-1
LOC111117207,5,4,1
LOC111117231,0,1,-1
LOC111117281,2,1,1
LOC111117288,3,2,1
LOC111117298,1,2,-1
LOC111117310,4,2,2
LOC111117311,3,2,1
LOC111117316,2,1,1
LOC111117323,2,1,1
LOC111117327,1,2,-1
LOC111117330,11,8,3
LOC111117339,1,0,1
LOC111117341,5,4,1
LOC111117346,3,0,3
LOC111117349,1,0,1
LOC111117352,5,6,-1
LOC111117385,3,4,-1
LOC111117388,3,2,1
LOC111117393,2,1,1
LOC111117395,1,2,-1
LOC111117400,3,2,1
LOC111117403,5,4,1
LOC111117417,15,10,5
LOC111117454,3,1,2
LOC111117456,9,4,5
LOC111117481,2,1,1
LOC111117500,3,2,1
LOC111117501,3,2,1
LOC111117507,1,2,-1
LOC111117525,4,1,3
LOC111117533,9,6,3
LOC111117535,1,2,-1
LOC111117544,2,1,1
LOC111117559,0,1,-1
LOC111117565,2,1,1
LOC111117567,3,2,1
LOC111117570,4,3,1
LOC111117571,2,1,1
LOC111117580,4,1,3
LOC111117614,1,0,1
LOC111117616,2,1,1
LOC111117621,2,1,1
LOC111117629,2,1,1
LOC111117631,2,1,1
LOC111117635,2,1,1
LOC111117644,0,1,-1
LOC111117647,2,1,1
LOC111117650,5,4,1
LOC111117654,1,2,-1
LOC111117659,2,1,1
LOC111117668,2,1,1
LOC111117670,3,2,1
LOC111117671,0,1,-1
LOC111117688,1,0,1
LOC111117691,1,2,-1
LOC111117705,2,1,1
LOC111117711,4,2,2
LOC111117722,4,1,3
LOC111117730,4,3,1
LOC111117731,4,3,1
LOC111117735,9,4,5
LOC111117736,5,3,2
LOC111117739,9,7,2
LOC111117740,13,11,2
LOC111117742,8,5,3
LOC111117749,4,3,1
LOC111117750,4,2,2
LOC111117755,7,3,4
LOC111117762,2,1,1
LOC111117764,3,2,1
LOC111117779,0,1,-1
LOC111117794,1,0,1
LOC111117802,2,1,1
LOC111117803,4,3,1
LOC111117813,3,2,1
LOC111117826,1,0,1
LOC111117831,0,1,-1
LOC111117832,1,2,-1
LOC111117833,1,2,-1
LOC111117861,10,4,6
LOC111117870,1,2,-1
LOC111117878,1,2,-1
LOC111117880,2,1,1
LOC111117902,3,2,1
LOC111117910,5,3,2
LOC111117911,2,1,1
LOC111117928,6,3,3
LOC111117929,2,1,1
LOC111117930,2,1,1
LOC111117931,1,2,-1
LOC111117947,2,1,1
LOC111117955,2,1,1
LOC111117958,0,1,-1
LOC111117968,4,2,2
LOC111118004,3,2,1
LOC111118008,1,2,-1
LOC111118022,2,1,1
LOC111118026,9,4,5
LOC111118027,3,1,2
LOC111118028,2,1,1
LOC111118040,5,4,1
LOC111118054,2,1,1
LOC111118073,2,1,1
LOC111118088,2,1,1
LOC111118094,6,4,2
LOC111118123,1,2,-1
LOC111118130,1,2,-1
LOC111118137,3,2,1
LOC111118171,2,1,1
LOC111118178,0,1,-1
LOC111118184,3,2,1
LOC111118188,2,1,1
LOC111118229,2,3,-1
LOC111118239,10,8,2
LOC111118247,5,3,2
LOC111118257,8,6,2
LOC111118268,2,1,1
LOC111118277,2,1,1
LOC111118289,2,1,1
LOC111118315,6,3,3
LOC111118317,3,2,1
LOC111118325,2,1,1
LOC111118341,1,2,-1
LOC111118367,12,7,5
LOC111118371,5,3,2
LOC111118379,14,8,6
LOC111118380,3,1,2
LOC111118391,1,2,-1
LOC111118399,2,1,1
LOC111118407,15,8,7
LOC111118410,2,3,-1
LOC111118414,1,0,1
LOC111118419,3,2,1
LOC111118432,2,1,1
LOC111118439,6,5,1
LOC111118445,2,1,1
LOC111118447,2,3,-1
LOC111118449,3,4,-1
LOC111118454,2,1,1
LOC111118458,2,1,1
LOC111118463,6,1,5
LOC111118465,2,1,1
LOC111118470,1,3,-2
LOC111118486,3,2,1
LOC111118491,2,1,1
LOC111118494,4,5,-1
LOC111118555,2,1,1
LOC111118558,12,5,7
LOC111118564,2,1,1
LOC111118570,7,6,1
LOC111118575,1,2,-1
LOC111118577,2,1,1
LOC111118578,2,1,1
LOC111118579,2,1,1
LOC111118600,5,3,2
LOC111118601,3,2,1
LOC111118614,3,2,1
LOC111118615,1,2,-1
LOC111118619,2,1,1
LOC111118639,0,1,-1
LOC111118657,2,4,-2
LOC111118670,0,1,-1
LOC111118672,3,1,2
LOC111118698,2,1,1
LOC111118705,3,2,1
LOC111118714,4,3,1
LOC111118720,2,1,1
LOC111118721,3,2,1
LOC111118723,3,1,2
LOC111118726,2,1,1
LOC111118728,1,2,-1
LOC111118736,1,0,1
LOC111118780,3,2,1
LOC111118783,2,3,-1
LOC111118785,0,1,-1
LOC111118790,4,3,1
LOC111118796,2,1,1
LOC111118802,2,1,1
LOC111118813,5,3,2
LOC111118817,2,1,1
LOC111118818,3,4,-1
LOC111118821,0,1,-1
LOC111118823,9,6,3
LOC111118831,3,2,1
LOC111118837,0,1,-1
LOC111118843,23,19,4
LOC111118850,2,1,1
LOC111118862,0,1,-1
LOC111118864,11,10,1
LOC111118870,5,4,1
LOC111118880,2,1,1
LOC111118883,2,3,-1
LOC111118884,2,1,1
LOC111118893,2,1,1
LOC111118898,5,2,3
LOC111118900,1,2,-1
LOC111118902,0,1,-1
LOC111118906,3,4,-1
LOC111118910,4,3,1
LOC111118918,3,2,1
LOC111118935,2,1,1
LOC111118938,6,3,3
LOC111118940,2,1,1
LOC111118944,7,6,1
LOC111118952,1,2,-1
LOC111118955,3,2,1
LOC111118990,8,7,1
LOC111118992,13,11,2
LOC111119000,3,2,1
LOC111119008,19,11,8
LOC111119012,5,3,2
LOC111119015,8,6,2
LOC111119016,5,3,2
LOC111119019,3,2,1
LOC111119021,5,4,1
LOC111119030,4,1,3
LOC111119031,1,2,-1
LOC111119041,3,1,2
LOC111119072,4,3,1
LOC111119077,4,3,1
LOC111119084,4,3,1
LOC111119088,3,2,1
LOC111119097,2,1,1
LOC111119098,5,3,2
LOC111119100,7,3,4
LOC111119101,6,5,1
LOC111119102,4,3,1
LOC111119104,3,1,2
LOC111119115,2,3,-1
LOC111119124,11,5,6
LOC111119125,2,1,1
LOC111119143,2,3,-1
LOC111119144,2,1,1
LOC111119147,3,2,1
LOC111119148,8,5,3
LOC111119160,2,1,1
LOC111119176,2,1,1
LOC111119181,2,3,-1
LOC111119184,8,5,3
LOC111119187,9,5,4
LOC111119192,2,1,1
LOC111119193,1,2,-1
LOC111119194,6,4,2
LOC111119197,11,1,10
LOC111119207,6,4,2
LOC111119208,3,1,2
LOC111119209,8,2,6
LOC111119215,6,5,1
LOC111119220,5,4,1
LOC111119225,4,3,1
LOC111119226,8,4,4
LOC111119227,1,2,-1
LOC111119231,9,6,3
LOC111119232,2,1,1
LOC111119235,7,3,4
LOC111119241,1,0,1
LOC111119255,5,8,-3
LOC111119282,4,3,1
LOC111119290,8,4,4
LOC111119297,11,6,5
LOC111119298,2,1,1
LOC111119302,2,3,-1
LOC111119315,2,1,1
LOC111119316,2,1,1
LOC111119319,4,3,1
LOC111119326,3,2,1
LOC111119334,2,3,-1
LOC111119349,4,3,1
LOC111119353,2,1,1
LOC111119355,3,2,1
LOC111119356,2,1,1
LOC111119360,8,7,1
LOC111119371,7,6,1
LOC111119374,2,3,-1
LOC111119375,5,4,1
LOC111119387,2,1,1
LOC111119395,4,3,1
LOC111119397,6,5,1
LOC111119398,2,1,1
LOC111119401,7,5,2
LOC111119405,5,4,1
LOC111119420,2,3,-1
LOC111119422,22,12,10
LOC111119425,2,1,1
LOC111119426,12,5,7
LOC111119447,2,1,1
LOC111119466,3,2,1
LOC111119468,1,2,-1
LOC111119485,3,2,1
LOC111119490,4,2,2
LOC111119497,1,0,1
LOC111119502,2,1,1
LOC111119506,1,2,-1
LOC111119511,2,1,1
LOC111119530,10,6,4
LOC111119532,7,6,1
LOC111119534,1,2,-1
LOC111119535,14,10,4
LOC111119539,2,1,1
LOC111119551,3,2,1
LOC111119552,6,5,1
LOC111119555,5,4,1
LOC111119560,2,1,1
LOC111119562,5,4,1
LOC111119563,2,1,1
LOC111119571,12,7,5
LOC111119573,3,2,1
LOC111119580,2,1,1
LOC111119585,6,4,2
LOC111119586,8,7,1
LOC111119594,12,8,4
LOC111119596,7,5,2
LOC111119600,9,6,3
LOC111119603,3,4,-1
LOC111119607,6,4,2
LOC111119610,1,2,-1
LOC111119613,4,3,1
LOC111119616,5,4,1
LOC111119621,10,5,5
LOC111119630,8,9,-1
LOC111119636,4,3,1
LOC111119640,18,10,8
LOC111119643,6,5,1
LOC111119644,4,3,1
LOC111119655,4,3,1
LOC111119656,3,2,1
LOC111119663,1,2,-1
LOC111119681,4,2,2
LOC111119700,5,4,1
LOC111119708,3,2,1
LOC111119715,2,1,1
LOC111119718,2,1,1
LOC111119720,2,1,1
LOC111119727,5,3,2
LOC111119730,3,1,2
LOC111119733,8,6,2
LOC111119748,2,1,1
LOC111119752,4,2,2
LOC111119756,3,1,2
LOC111119769,4,1,3
LOC111119771,4,3,1
LOC111119778,4,3,1
LOC111119783,2,1,1
LOC111119785,2,1,1
LOC111119786,6,5,1
LOC111119792,2,1,1
LOC111119811,3,2,1
LOC111119816,2,1,1
