gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111100546,3,2,1
LOC111100548,9,6,3
LOC111100551,1,2,-1
LOC111100557,5,4,1
LOC111100564,2,1,1
LOC111100567,2,1,1
LOC111100568,8,5,3
LOC111100571,3,4,-1
LOC111100586,6,5,1
LOC111100587,3,2,1
LOC111100619,1,2,-1
LOC111100623,5,2,3
LOC111100625,3,2,1
LOC111100628,3,1,2
LOC111100632,4,3,1
LOC111100633,2,1,1
LOC111100634,4,2,2
LOC111100635,3,1,2
LOC111100696,0,1,-1
LOC111100734,4,2,2
LOC111100751,1,0,1
LOC111100765,6,5,1
LOC111100788,7,5,2
LOC111100790,3,2,1
LOC111100792,11,5,6
LOC111100801,4,2,2
LOC111100815,2,5,-3
LOC111100816,2,1,1
LOC111100821,2,1,1
LOC111100838,4,1,3
LOC111100839,2,1,1
LOC111100840,1,2,-1
LOC111100844,3,2,1
LOC111100858,6,4,2
LOC111100861,2,1,1
LOC111100867,2,1,1
LOC111100869,2,4,-2
LOC111100872,4,2,2
LOC111100874,2,1,1
LOC111100879,2,1,1
LOC111100893,2,3,-1
LOC111100895,2,1,1
LOC111100896,11,7,4
LOC111100897,5,4,1
LOC111100899,3,0,3
LOC111100906,4,2,2
LOC111100907,3,1,2
LOC111100915,2,1,1
LOC111100924,5,3,2
LOC111100927,3,2,1
LOC111100943,1,2,-1
LOC111100954,1,2,-1
LOC111100964,3,2,1
LOC111100973,2,1,1
LOC111100974,1,2,-1
LOC111100975,1,3,-2
LOC111100977,3,2,1
LOC111100983,2,1,1
LOC111100984,4,2,2
LOC111100989,8,6,2
LOC111100993,4,2,2
LOC111100998,0,1,-1
LOC111101001,3,0,3
LOC111101006,4,3,1
LOC111101010,2,1,1
LOC111101014,3,1,2
LOC111101015,2,1,1
LOC111101016,2,1,1
LOC111101018,2,1,1
LOC111101019,1,0,1
LOC111101021,2,1,1
LOC111101023,3,2,1
LOC111101026,3,1,2
LOC111101027,4,3,1
LOC111101028,4,3,1
LOC111101031,3,2,1
LOC111101033,6,4,2
LOC111101036,20,15,5
LOC111101049,6,3,3
LOC111101050,7,4,3
LOC111101060,6,3,3
LOC111101067,3,2,1
LOC111101077,2,1,1
LOC111101078,3,1,2
LOC111101080,3,4,-1
LOC111101081,1,2,-1
LOC111101086,2,1,1
LOC111101098,1,0,1
LOC111101099,2,1,1
LOC111101102,4,2,2
LOC111101104,0,1,-1
LOC111101114,2,1,1
LOC111101125,1,0,1
LOC111101134,4,2,2
LOC111101136,3,2,1
LOC111101137,4,3,1
LOC111101138,5,3,2
LOC111101139,3,1,2
LOC111101141,2,1,1
LOC111101148,4,3,1
LOC111101151,1,2,-1
LOC111101163,5,1,4
LOC111101171,1,2,-1
LOC111101173,2,1,1
LOC111101175,3,2,1
LOC111101185,4,3,1
LOC111101190,4,2,2
LOC111101206,3,2,1
LOC111101211,2,1,1
LOC111101212,16,9,7
LOC111101216,2,1,1
LOC111101224,2,1,1
LOC111101229,3,2,1
LOC111101230,3,1,2
LOC111101241,1,2,-1
LOC111101249,3,2,1
LOC111101251,5,3,2
LOC111101258,5,2,3
LOC111101274,2,1,1
LOC111101293,1,2,-1
LOC111101311,0,1,-1
LOC111101327,2,1,1
LOC111101329,3,2,1
LOC111101341,1,2,-1
LOC111101353,6,4,2
LOC111101355,1,2,-1
LOC111101366,3,2,1
LOC111101370,5,0,5
LOC111101372,0,1,-1
LOC111101381,3,1,2
LOC111101390,1,2,-1
LOC111101393,2,1,1
LOC111101394,2,1,1
LOC111101398,0,1,-1
LOC111101402,2,1,1
LOC111101405,3,2,1
LOC111101412,3,4,-1
LOC111101414,2,1,1
LOC111101442,1,0,1
LOC111101445,2,1,1
LOC111101448,6,5,1
LOC111101449,3,2,1
LOC111101452,2,1,1
LOC111101458,4,3,1
LOC111101462,2,1,1
LOC111101466,2,1,1
LOC111101470,4,2,2
LOC111101471,5,4,1
LOC111101473,3,2,1
LOC111101489,5,4,1
LOC111101494,0,1,-1
LOC111101496,1,0,1
LOC111101503,2,1,1
LOC111101513,1,0,1
LOC111101517,4,3,1
LOC111101518,4,3,1
LOC111101524,2,1,1
LOC111101526,4,2,2
LOC111101535,0,1,-1
LOC111101537,1,0,1
LOC111101547,2,1,1
LOC111101549,4,2,2
LOC111101552,2,1,1
LOC111101588,6,4,2
LOC111101597,0,1,-1
LOC111101601,3,1,2
LOC111101602,1,2,-1
LOC111101604,2,1,1
LOC111101607,5,6,-1
LOC111101612,10,3,7
LOC111101621,3,2,1
LOC111101627,1,0,1
LOC111101629,4,2,2
LOC111101652,4,3,1
LOC111101663,1,2,-1
LOC111101664,2,1,1
LOC111101668,1,2,-1
LOC111101677,1,2,-1
LOC111101681,2,1,1
LOC111101689,6,4,2
LOC111101692,1,0,1
LOC111101696,2,3,-1
LOC111101706,2,1,1
LOC111101711,4,2,2
LOC111101714,2,0,2
LOC111101719,1,0,1
LOC111101732,0,1,-1
LOC111101736,4,2,2
LOC111101738,0,1,-1
LOC111101741,2,3,-1
LOC111101742,1,2,-1
LOC111101748,2,1,1
LOC111101750,1,0,1
LOC111101752,2,1,1
LOC111101754,1,0,1
LOC111101755,1,0,1
LOC111101763,2,1,1
LOC111101766,1,2,-1
LOC111101767,1,0,1
LOC111101771,1,2,-1
LOC111101772,2,1,1
LOC111101776,3,2,1
LOC111101781,2,1,1
LOC111101797,1,0,1
LOC111101809,2,1,1
LOC111101814,4,3,1
LOC111101820,4,3,1
LOC111101823,1,2,-1
LOC111101830,1,2,-1
LOC111101850,4,2,2
LOC111101852,6,4,2
LOC111101854,2,1,1
LOC111101858,1,0,1
LOC111101863,1,2,-1
LOC111101864,1,2,-1
LOC111101871,6,5,1
LOC111101879,2,1,1
LOC111101888,2,1,1
LOC111101890,2,1,1
LOC111101900,0,1,-1
LOC111101913,0,1,-1
LOC111101979,2,1,1
LOC111102020,2,1,1
LOC111102026,1,0,1
LOC111102028,1,0,1
LOC111102037,0,1,-1
LOC111102043,1,0,1
LOC111102098,0,1,-1
LOC111102100,1,0,1
LOC111102103,1,0,1
LOC111102128,0,1,-1
LOC111102148,1,0,1
LOC111102164,0,1,-1
LOC111102168,2,1,1
LOC111102176,0,1,-1
LOC111102184,2,1,1
LOC111102193,0,1,-1
LOC111102213,1,0,1
LOC111102216,0,1,-1
LOC111102237,13,9,4
LOC111102238,3,2,1
LOC111102250,1,2,-1
LOC111102256,1,0,1
LOC111102257,2,1,1
LOC111102260,1,0,1
LOC111102262,2,1,1
LOC111102283,3,2,1
LOC111102291,2,1,1
LOC111102299,2,1,1
LOC111102303,2,1,1
LOC111102310,1,0,1
LOC111102339,1,3,-2
LOC111102341,0,1,-1
LOC111102342,2,1,1
LOC111102349,0,2,-2
LOC111102358,0,1,-1
LOC111102359,2,1,1
LOC111102361,12,11,1
LOC111102364,0,1,-1
LOC111102369,3,2,1
LOC111102374,3,2,1
LOC111102388,2,1,1
LOC111102398,1,0,1
LOC111102401,1,0,1
LOC111102404,1,0,1
LOC111102426,33,16,17
LOC111102432,4,1,3
LOC111102435,3,2,1
LOC111102446,4,2,2
LOC111102449,2,1,1
LOC111102454,2,1,1
LOC111102463,3,2,1
LOC111102475,3,2,1
LOC111102485,4,3,1
LOC111102490,3,2,1
LOC111102495,11,5,6
LOC111102500,2,1,1
LOC111102502,0,1,-1
LOC111102504,3,2,1
LOC111102507,1,0,1
LOC111102508,1,2,-1
LOC111102514,3,1,2
LOC111102519,1,2,-1
LOC111102521,3,2,1
LOC111102526,2,1,1
LOC111102528,2,1,1
LOC111102530,2,1,1
LOC111102536,2,1,1
LOC111102541,2,1,1
LOC111102543,0,1,-1
LOC111102547,0,1,-1
LOC111102563,2,1,1
LOC111102567,1,2,-1
LOC111102569,2,1,1
LOC111102571,5,3,2
LOC111102584,6,2,4
LOC111102619,2,1,1
LOC111102627,2,1,1
LOC111102629,0,1,-1
LOC111102648,2,1,1
LOC111102657,0,1,-1
LOC111102662,2,1,1
LOC111102663,0,1,-1
LOC111102668,2,1,1
LOC111102675,6,5,1
LOC111102677,2,3,-1
LOC111102681,0,1,-1
LOC111102686,1,2,-1
LOC111102692,1,2,-1
LOC111102693,0,1,-1
LOC111102697,2,1,1
LOC111102699,2,1,1
LOC111102712,0,1,-1
LOC111102717,2,1,1
LOC111102718,2,1,1
LOC111102721,2,0,2
LOC111102722,0,1,-1
LOC111102723,2,1,1
LOC111102726,1,0,1
LOC111102732,0,1,-1
LOC111102736,2,1,1
LOC111102737,3,2,1
LOC111102745,4,2,2
LOC111102747,3,2,1
LOC111102773,0,1,-1
LOC111102779,3,1,2
LOC111102781,1,2,-1
LOC111102783,0,1,-1
LOC111102786,0,1,-1
LOC111102801,5,3,2
LOC111102810,3,2,1
LOC111102813,2,1,1
LOC111102817,6,2,4
LOC111102820,3,1,2
LOC111102833,21,18,3
LOC111102834,4,3,1
LOC111102835,3,2,1
LOC111102836,2,1,1
LOC111102837,2,1,1
LOC111102839,4,2,2
LOC111102841,3,4,-1
LOC111102852,1,2,-1
LOC111102856,1,0,1
LOC111102865,3,1,2
LOC111102868,1,0,1
LOC111102872,4,2,2
LOC111102878,4,5,-1
LOC111102887,1,2,-1
LOC111102902,2,1,1
LOC111102911,2,1,1
LOC111102912,3,2,1
LOC111102918,2,1,1
LOC111102920,2,1,1
LOC111102933,0,1,-1
LOC111102943,2,1,1
LOC111102948,0,1,-1
LOC111102960,5,2,3
LOC111102962,2,1,1
LOC111102966,1,2,-1
LOC111102968,0,1,-1
LOC111102976,0,1,-1
LOC111102981,2,1,1
LOC111102983,1,0,1
LOC111102989,2,1,1
LOC111102991,2,1,1
LOC111102995,1,2,-1
LOC111103002,3,1,2
LOC111103003,1,3,-2
LOC111103010,0,1,-1
LOC111103015,6,2,4
LOC111103016,2,1,1
LOC111103018,3,1,2
LOC111103019,5,3,2
LOC111103024,5,2,3
LOC111103027,2,1,1
LOC111103034,1,0,1
LOC111103035,0,1,-1
LOC111103039,2,1,1
LOC111103042,0,1,-1
LOC111103055,1,2,-1
LOC111103058,2,1,1
LOC111103061,7,5,2
LOC111103065,1,0,1
LOC111103071,2,1,1
LOC111103078,0,1,-1
LOC111103080,3,2,1
LOC111103083,1,0,1
LOC111103087,1,3,-2
LOC111103090,6,5,1
LOC111103091,2,1,1
LOC111103092,1,3,-2
LOC111103095,4,5,-1
LOC111103115,9,7,2
LOC111103119,1,3,-2
LOC111103122,0,1,-1
LOC111103127,2,1,1
LOC111103133,1,0,1
LOC111103134,0,1,-1
LOC111103138,1,0,1
LOC111103141,0,1,-1
LOC111103147,1,0,1
LOC111103148,4,3,1
LOC111103153,1,2,-1
LOC111103155,2,1,1
LOC111103169,1,3,-2
LOC111103172,3,1,2
LOC111103174,2,1,1
LOC111103175,3,1,2
LOC111103176,5,4,1
LOC111103179,1,0,1
LOC111103180,2,1,1
LOC111103182,3,2,1
LOC111103190,2,1,1
LOC111103191,2,1,1
LOC111103207,2,1,1
LOC111103215,3,2,1
LOC111103222,1,0,1
LOC111103223,8,7,1
LOC111103234,3,2,1
LOC111103236,2,3,-1
LOC111103241,0,1,-1
LOC111103243,0,1,-1
LOC111103244,15,6,9
LOC111103246,4,2,2
LOC111103258,0,1,-1
LOC111103270,7,2,5
LOC111103274,3,1,2
LOC111103278,0,1,-1
LOC111103282,0,1,-1
LOC111103287,15,8,7
LOC111103298,2,1,1
LOC111103301,0,1,-1
LOC111103302,0,1,-1
LOC111103308,1,0,1
LOC111103323,6,5,1
LOC111103324,0,1,-1
LOC111103328,1,2,-1
LOC111103337,4,5,-1
LOC111103338,2,1,1
LOC111103339,3,2,1
LOC111103341,0,1,-1
LOC111103342,3,2,1
LOC111103344,11,10,1
LOC111103345,18,14,4
LOC111103347,4,2,2
LOC111103356,7,5,2
LOC111103366,6,4,2
LOC111103368,0,1,-1
LOC111103369,0,1,-1
LOC111103370,6,5,1
LOC111103375,9,7,2
LOC111103381,4,1,3
LOC111103386,1,0,1
LOC111103387,6,3,3
LOC111103393,9,6,3
LOC111103396,10,6,4
LOC111103398,2,1,1
LOC111103401,3,2,1
LOC111103404,2,1,1
LOC111103405,3,2,1
LOC111103413,0,1,-1
LOC111103425,0,1,-1
LOC111103426,1,0,1
LOC111103430,7,6,1
LOC111103431,9,7,2
LOC111103432,0,1,-1
LOC111103435,0,1,-1
LOC111103440,0,1,-1
LOC111103443,4,5,-1
LOC111103454,0,1,-1
LOC111103456,0,1,-1
LOC111103460,1,0,1
LOC111103467,2,1,1
LOC111103477,0,1,-1
LOC111103478,1,0,1
LOC111103480,7,4,3
LOC111103482,4,3,1
LOC111103483,0,1,-1
LOC111103487,1,2,-1
LOC111103494,2,1,1
LOC111103506,1,0,1
LOC111103511,4,3,1
LOC111103514,6,4,2
