gene_name,female_max_transcript_counts,male_max_transcript_counts,difference
LOC111103814,9,7,2
LOC111103819,6,5,1
LOC111103821,3,2,1
LOC111103846,5,4,1
LOC111103847,5,4,1
LOC111103858,3,2,1
LOC111103860,2,1,1
LOC111103863,1,2,-1
LOC111103868,6,5,1
LOC111103869,12,11,1
LOC111103871,2,1,1
LOC111103892,2,1,1
LOC111103896,6,5,1
LOC111103901,9,5,4
LOC111103906,2,1,1
LOC111103907,6,5,1
LOC111103912,3,2,1
LOC111103929,1,2,-1
LOC111103930,5,7,-2
LOC111103949,1,2,-1
LOC111103956,3,2,1
LOC111103965,4,5,-1
LOC111103967,3,5,-2
LOC111103979,2,1,1
LOC111103982,3,2,1
LOC111103994,5,3,2
LOC111103996,6,4,2
LOC111104008,8,6,2
LOC111104011,1,3,-2
LOC111104015,2,1,1
LOC111104023,3,2,1
LOC111104041,2,1,1
LOC111104042,2,1,1
LOC111104048,1,2,-1
LOC111104050,1,2,-1
LOC111104053,2,3,-1
LOC111104055,5,3,2
LOC111104056,1,2,-1
LOC111104061,4,2,2
LOC111104063,12,9,3
LOC111104072,1,2,-1
LOC111104082,2,1,1
LOC111104084,8,5,3
LOC111104098,6,5,1
LOC111104103,2,1,1
LOC111104110,2,3,-1
LOC111104124,5,3,2
LOC111104129,2,1,1
LOC111104135,4,3,1
LOC111104159,4,3,1
LOC111104169,4,3,1
LOC111104175,2,1,1
LOC111104180,6,5,1
LOC111104190,13,9,4
LOC111104193,5,4,1
LOC111104223,3,2,1
LOC111104227,1,2,-1
LOC111104228,3,5,-2
LOC111104234,2,1,1
LOC111104238,1,2,-1
LOC111104249,2,3,-1
LOC111104252,3,2,1
LOC111104255,0,1,-1
LOC111104269,11,6,5
LOC111104281,1,2,-1
LOC111104304,2,1,1
LOC111104313,3,2,1
LOC111104315,4,3,1
LOC111104316,4,2,2
LOC111104321,1,2,-1
LOC111104330,4,3,1
LOC111104340,2,1,1
LOC111104346,3,2,1
LOC111104349,5,2,3
LOC111104354,3,2,1
LOC111104373,3,1,2
LOC111104379,0,1,-1
LOC111104382,9,4,5
LOC111104401,10,7,3
LOC111104417,1,3,-2
LOC111104431,3,4,-1
LOC111104432,9,8,1
LOC111104433,3,2,1
LOC111104437,2,1,1
LOC111104448,2,1,1
LOC111104451,5,4,1
LOC111104453,5,2,3
LOC111104461,2,1,1
LOC111104464,4,3,1
LOC111104474,3,2,1
LOC111104485,1,2,-1
LOC111104488,1,4,-3
LOC111104489,2,1,1
LOC111104491,1,2,-1
LOC111104497,4,3,1
LOC111104508,1,2,-1
LOC111104515,5,3,2
LOC111104526,4,5,-1
LOC111104529,3,2,1
LOC111104540,3,1,2
LOC111104544,2,1,1
LOC111104545,3,2,1
LOC111104558,1,2,-1
LOC111104560,2,1,1
LOC111104568,2,1,1
LOC111104583,0,1,-1
LOC111104598,3,1,2
LOC111104602,2,1,1
LOC111104603,2,1,1
LOC111104621,1,2,-1
LOC111104625,3,4,-1
LOC111104629,20,25,-5
LOC111104637,2,1,1
LOC111104648,2,3,-1
LOC111104662,1,2,-1
LOC111104666,2,1,1
LOC111104674,3,2,1
LOC111104689,5,4,1
LOC111104697,3,2,1
LOC111104704,1,2,-1
LOC111104709,2,3,-1
LOC111104710,2,1,1
LOC111104711,6,2,4
