gene_name,transcript_counts.S12M,transcript_counts.S23M,transcript_counts.S31M,transcript_counts.S48M,transcript_counts.S59M,transcript_counts.S9M,exposed_males_sum_transcript_counts,exposed_males_median_transcript_counts,exposed_males_mean_transcript_counts,exposed_males_max_transcript_counts,exposed_males_min_transcript_counts,exposed_males_std_dev_transcript_counts
LOC111099168,1,1,1,2,2,1,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099169,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099170,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099171,3,5,3,4,5,5,25,4.5,4.16666666666667,5,3,0.983192080250175
LOC111099172,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099173,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099174,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099175,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099176,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099177,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099178,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099179,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099180,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099181,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099182,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099183,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099184,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099185,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099186,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099187,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099188,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099189,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099190,1,1,1,2,1,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099191,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099192,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099193,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099194,7,1,4,9,11,9,41,8,6.83333333333333,11,1,3.71034589582517
LOC111099195,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099196,4,4,2,3,1,1,15,2.5,2.5,4,1,1.37840487520902
LOC111099197,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099198,2,1,2,2,1,2,10,2,1.66666666666667,2,1,0.516397779494322
LOC111099199,1,1,1,1,1,2,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099200,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099201,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099202,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099203,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099204,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099205,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099206,1,2,1,1,2,1,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099207,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099208,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099209,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099210,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099211,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099212,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099213,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099214,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099215,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099216,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099217,3,3,3,3,4,3,19,3,3.16666666666667,4,3,0.408248290463863
LOC111099218,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099219,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099220,2,1,1,2,2,1,9,1.5,1.5,2,1,0.547722557505166
LOC111099221,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099222,1,1,1,4,2,1,10,1,1.66666666666667,4,1,1.211060141639
LOC111099223,1,1,1,1,0,0,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099224,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099225,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099226,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099227,2,2,2,2,2,2,12,2,2,2,2,0
LOC111099228,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099229,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099230,2,2,2,1,1,2,10,2,1.66666666666667,2,1,0.516397779494322
LOC111099246,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099262,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099278,1,1,1,1,1,0,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099289,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099300,1,2,1,2,2,1,9,1.5,1.5,2,1,0.547722557505166
LOC111099316,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099327,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099343,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099359,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099375,3,3,1,3,3,2,15,3,2.5,3,1,0.836660026534076
LOC111099408,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099409,1,1,1,1,1,0,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099410,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099411,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099412,1,0,1,1,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099413,1,1,0,1,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099414,1,1,1,0,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099415,0,2,0,2,2,0,6,1,1,2,0,1.09544511501033
LOC111099416,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099417,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099418,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099419,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099420,3,3,1,2,3,3,15,3,2.5,3,1,0.836660026534076
LOC111099421,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099422,0,1,0,0,0,0,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099423,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099424,1,1,1,1,1,1,6,1,1,1,1,0
