gene_name,controls_max_transcript_counts,exposed_max_transcript_counts,difference
LOC111100993,4,3,1
LOC111101001,3,2,1
LOC111101018,2,3,-1
LOC111101028,4,3,1
LOC111101031,3,2,1
LOC111101033,6,4,2
LOC111101042,2,1,1
LOC111101050,7,8,-1
LOC111101078,3,2,1
LOC111101080,4,3,1
LOC111101099,2,1,1
LOC111101105,1,2,-1
LOC111101106,0,1,-1
LOC111101116,2,3,-1
LOC111101134,4,3,1
LOC111101138,5,4,1
LOC111101151,2,1,1
LOC111101159,1,2,-1
LOC111101163,5,7,-2
LOC111101166,4,5,-1
LOC111101175,3,2,1
LOC111101180,1,2,-1
LOC111101190,4,3,1
LOC111101206,3,5,-2
LOC111101224,2,1,1
LOC111101225,1,3,-2
LOC111101229,3,2,1
LOC111101241,2,1,1
LOC111101255,1,2,-1
LOC111101258,5,4,1
LOC111101272,2,1,1
LOC111101276,2,3,-1
LOC111101277,1,2,-1
LOC111101298,1,2,-1
LOC111101301,0,4,-4
LOC111101304,1,2,-1
LOC111101311,1,0,1
LOC111101312,1,0,1
LOC111101327,2,1,1
LOC111101353,6,4,2
LOC111101369,2,3,-1
LOC111101370,5,3,2
LOC111101393,2,3,-1
LOC111101398,1,0,1
LOC111101405,3,2,1
LOC111101412,4,6,-2
LOC111101438,1,2,-1
LOC111101448,6,4,2
LOC111101449,3,4,-1
LOC111101455,1,3,-2
LOC111101471,5,6,-1
LOC111101489,5,4,1
LOC111101494,1,0,1
LOC111101500,0,1,-1
LOC111101503,2,1,1
LOC111101543,1,2,-1
LOC111101544,1,2,-1
LOC111101545,1,2,-1
LOC111101547,2,1,1
LOC111101552,2,3,-1
LOC111101582,0,1,-1
LOC111101588,6,5,1
LOC111101601,3,2,1
LOC111101603,6,5,1
LOC111101608,4,3,1
LOC111101621,3,4,-1
LOC111101625,1,2,-1
LOC111101628,1,2,-1
LOC111101636,1,2,-1
LOC111101645,1,2,-1
LOC111101651,1,2,-1
LOC111101680,3,4,-1
LOC111101685,0,1,-1
LOC111101714,2,1,1
LOC111101717,1,2,-1
LOC111101727,1,2,-1
LOC111101738,1,0,1
LOC111101748,2,1,1
LOC111101750,1,3,-2
LOC111101754,1,3,-2
LOC111101781,2,1,1
LOC111101814,4,3,1
LOC111101815,1,2,-1
LOC111101820,4,3,1
LOC111101824,0,1,-1
LOC111101825,0,1,-1
LOC111101826,0,1,-1
LOC111101830,2,1,1
LOC111101850,4,3,1
LOC111101856,0,1,-1
LOC111101864,2,1,1
LOC111101871,6,5,1
LOC111101876,2,3,-1
LOC111101882,0,1,-1
LOC111101887,0,1,-1
LOC111101888,2,1,1
LOC111101894,3,2,1
LOC111101897,1,0,1
LOC111101946,2,3,-1
LOC111102020,2,4,-2
LOC111102077,0,1,-1
LOC111102129,0,1,-1
LOC111102184,2,1,1
LOC111102205,0,1,-1
LOC111102237,13,12,1
LOC111102246,0,1,-1
LOC111102250,2,1,1
LOC111102257,2,1,1
LOC111102261,0,1,-1
LOC111102281,0,1,-1
LOC111102283,3,4,-1
LOC111102285,1,2,-1
LOC111102286,0,1,-1
LOC111102310,1,2,-1
LOC111102339,3,2,1
LOC111102341,1,0,1
LOC111102342,2,3,-1
LOC111102348,1,2,-1
LOC111102366,2,3,-1
LOC111102388,2,3,-1
LOC111102389,1,2,-1
LOC111102397,0,2,-2
LOC111102418,0,1,-1
LOC111102421,1,0,1
LOC111102426,33,16,17
LOC111102432,4,3,1
LOC111102435,3,4,-1
LOC111102446,4,3,1
LOC111102449,2,1,1
LOC111102450,1,2,-1
LOC111102454,2,1,1
LOC111102481,0,1,-1
LOC111102485,4,5,-1
LOC111102495,11,9,2
LOC111102508,2,1,1
LOC111102514,3,2,1
LOC111102522,0,1,-1
LOC111102526,2,3,-1
LOC111102541,2,1,1
LOC111102571,5,3,2
LOC111102584,6,4,2
LOC111102587,1,3,-2
LOC111102597,1,2,-1
LOC111102610,3,4,-1
LOC111102618,0,1,-1
LOC111102627,2,1,1
LOC111102633,1,2,-1
LOC111102660,1,2,-1
LOC111102663,1,2,-1
LOC111102664,0,1,-1
LOC111102675,6,7,-1
LOC111102699,2,1,1
LOC111102717,2,3,-1
LOC111102726,1,0,1
LOC111102737,3,2,1
LOC111102787,1,2,-1
LOC111102793,1,0,1
LOC111102795,1,0,1
LOC111102801,5,4,1
LOC111102817,6,8,-2
LOC111102833,21,22,-1
LOC111102837,2,1,1
LOC111102839,4,3,1
LOC111102856,1,0,1
LOC111102865,3,2,1
LOC111102872,4,3,1
LOC111102878,5,4,1
LOC111102887,2,1,1
LOC111102888,1,2,-1
LOC111102899,1,2,-1
LOC111102902,2,1,1
LOC111102918,2,1,1
LOC111102923,1,3,-2
LOC111102933,1,2,-1
LOC111102936,1,2,-1
LOC111102960,5,3,2
LOC111102967,2,3,-1
LOC111102982,2,3,-1
LOC111102991,2,1,1
LOC111103003,3,4,-1
LOC111103018,3,4,-1
LOC111103019,5,4,1
LOC111103027,2,1,1
LOC111103028,1,2,-1
LOC111103055,2,1,1
LOC111103058,2,1,1
LOC111103085,0,1,-1
LOC111103095,5,6,-1
LOC111103099,1,2,-1
LOC111103111,0,1,-1
LOC111103112,1,2,-1
LOC111103157,4,5,-1
LOC111103169,3,2,1
LOC111103174,2,1,1
LOC111103175,3,2,1
LOC111103196,0,1,-1
LOC111103214,2,3,-1
LOC111103219,0,1,-1
LOC111103234,3,4,-1
LOC111103244,15,14,1
LOC111103253,3,2,1
LOC111103280,0,1,-1
LOC111103287,15,16,-1
LOC111103295,0,1,-1
LOC111103297,3,4,-1
LOC111103298,2,1,1
LOC111103300,0,1,-1
LOC111103323,6,5,1
LOC111103356,7,6,1
LOC111103368,1,0,1
LOC111103370,6,5,1
LOC111103375,9,7,2
LOC111103381,4,3,1
LOC111103393,9,7,2
LOC111103396,10,9,1
LOC111103401,3,2,1
LOC111103405,3,4,-1
LOC111103417,3,2,1
LOC111103433,0,1,-1
LOC111103441,5,6,-1
LOC111103443,5,6,-1
LOC111103458,0,1,-1
LOC111103462,0,1,-1
LOC111103465,5,4,1
LOC111103478,1,0,1
