gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111102257,2,1,1
LOC111102260,1,0,1
LOC111102281,0,1,-1
LOC111102283,3,4,-1
LOC111102286,0,1,-1
LOC111102310,1,2,-1
LOC111102338,2,1,1
LOC111102339,1,2,-1
LOC111102342,2,3,-1
LOC111102348,1,2,-1
LOC111102349,0,1,-1
LOC111102359,2,1,1
LOC111102364,0,1,-1
LOC111102366,2,3,-1
LOC111102372,3,1,2
LOC111102377,3,1,2
LOC111102378,2,1,1
LOC111102397,0,2,-2
LOC111102401,1,0,1
LOC111102407,1,0,1
LOC111102419,1,0,1
LOC111102421,1,0,1
LOC111102426,33,16,17
LOC111102432,4,2,2
LOC111102435,3,4,-1
LOC111102446,4,1,3
LOC111102449,2,1,1
LOC111102453,1,0,1
LOC111102454,2,1,1
LOC111102481,0,1,-1
LOC111102485,4,5,-1
LOC111102487,1,0,1
LOC111102495,11,9,2
LOC111102500,2,1,1
LOC111102510,2,1,1
LOC111102514,3,2,1
LOC111102522,0,1,-1
LOC111102540,1,0,1
LOC111102541,2,1,1
LOC111102557,1,0,1
LOC111102566,1,0,1
LOC111102569,2,1,1
LOC111102571,5,3,2
LOC111102582,1,0,1
LOC111102584,6,4,2
LOC111102610,3,4,-1
LOC111102627,2,1,1
LOC111102633,1,2,-1
LOC111102646,1,0,1
LOC111102648,2,1,1
LOC111102662,2,1,1
LOC111102664,0,1,-1
LOC111102675,6,7,-1
LOC111102681,0,1,-1
LOC111102692,1,2,-1
LOC111102693,0,1,-1
LOC111102699,2,1,1
LOC111102717,2,1,1
LOC111102721,2,0,2
LOC111102722,0,1,-1
LOC111102726,1,0,1
LOC111102732,0,1,-1
LOC111102737,3,2,1
LOC111102758,5,4,1
LOC111102773,0,1,-1
LOC111102781,1,2,-1
LOC111102783,0,1,-1
LOC111102787,1,2,-1
LOC111102793,1,0,1
LOC111102795,1,0,1
LOC111102801,5,4,1
LOC111102817,6,8,-2
LOC111102833,21,22,-1
LOC111102837,2,1,1
LOC111102839,4,3,1
LOC111102852,1,2,-1
LOC111102853,3,2,1
LOC111102856,1,0,1
LOC111102865,3,2,1
LOC111102872,4,3,1
LOC111102899,1,0,1
LOC111102902,2,1,1
LOC111102903,3,2,1
LOC111102918,2,1,1
LOC111102923,1,3,-2
LOC111102933,0,2,-2
LOC111102941,2,1,1
LOC111102952,1,0,1
LOC111102960,5,3,2
LOC111102963,2,1,1
LOC111102967,2,3,-1
LOC111102982,2,3,-1
LOC111102985,1,0,1
LOC111102989,2,1,1
LOC111102991,2,1,1
LOC111102995,1,0,1
LOC111103003,1,2,-1
LOC111103010,0,1,-1
LOC111103018,3,4,-1
LOC111103019,5,4,1
LOC111103027,2,1,1
LOC111103035,0,1,-1
