gene_name,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,difference
LOC111101663,1,2,-1
LOC111101664,1,2,-1
LOC111101675,0,2,-2
LOC111101677,2,1,1
LOC111101680,4,2,2
LOC111101682,1,2,-1
LOC111101689,6,4,2
LOC111101692,0,1,-1
LOC111101696,2,3,-1
LOC111101711,4,2,2
LOC111101717,2,1,1
LOC111101719,0,1,-1
LOC111101727,1,2,-1
LOC111101730,0,1,-1
LOC111101732,0,1,-1
LOC111101741,2,3,-1
LOC111101742,1,2,-1
LOC111101750,3,0,3
LOC111101754,1,3,-2
LOC111101763,2,1,1
LOC111101766,1,2,-1
LOC111101767,1,0,1
LOC111101771,1,2,-1
LOC111101772,2,1,1
LOC111101776,2,3,-1
LOC111101785,0,1,-1
LOC111101788,1,2,-1
LOC111101807,1,0,1
LOC111101809,1,2,-1
LOC111101815,1,2,-1
LOC111101823,1,2,-1
LOC111101824,0,1,-1
LOC111101825,0,1,-1
LOC111101826,0,1,-1
LOC111101850,3,2,1
LOC111101852,6,5,1
LOC111101856,0,1,-1
LOC111101871,5,3,2
LOC111101872,5,4,1
LOC111101876,1,3,-2
LOC111101879,2,1,1
LOC111101883,6,4,2
LOC111101887,0,1,-1
LOC111101900,0,1,-1
LOC111101907,0,1,-1
LOC111101913,1,0,1
LOC111101938,1,0,1
LOC111101946,3,2,1
LOC111101971,0,1,-1
LOC111101979,2,1,1
LOC111102020,4,3,1
LOC111102062,0,1,-1
LOC111102071,0,1,-1
LOC111102077,1,0,1
LOC111102103,1,0,1
LOC111102110,0,1,-1
LOC111102127,0,1,-1
LOC111102129,0,1,-1
LOC111102136,0,1,-1
LOC111102148,0,1,-1
LOC111102153,0,1,-1
LOC111102154,0,1,-1
LOC111102164,0,1,-1
LOC111102168,1,2,-1
LOC111102205,1,0,1
LOC111102222,0,1,-1
LOC111102223,0,1,-1
LOC111102236,0,1,-1
LOC111102237,12,10,2
LOC111102238,3,2,1
LOC111102246,1,0,1
LOC111102260,0,1,-1
LOC111102261,0,1,-1
LOC111102262,2,1,1
LOC111102278,4,3,1
LOC111102283,4,2,2
LOC111102285,1,2,-1
LOC111102295,3,2,1
LOC111102299,2,1,1
LOC111102310,2,1,1
LOC111102338,1,2,-1
LOC111102342,3,2,1
LOC111102349,1,2,-1
LOC111102358,0,1,-1
LOC111102359,1,2,-1
LOC111102361,12,10,2
LOC111102366,3,2,1
LOC111102372,1,3,-2
LOC111102377,1,3,-2
LOC111102378,1,2,-1
LOC111102388,2,3,-1
LOC111102389,1,2,-1
LOC111102397,2,0,2
LOC111102398,1,0,1
LOC111102401,0,1,-1
LOC111102407,0,1,-1
LOC111102418,0,1,-1
LOC111102419,0,1,-1
LOC111102422,2,1,1
LOC111102426,16,15,1
LOC111102432,2,3,-1
LOC111102435,4,3,1
LOC111102446,1,3,-2
LOC111102450,1,2,-1
LOC111102453,0,1,-1
LOC111102481,1,0,1
LOC111102485,5,2,3
LOC111102487,0,1,-1
LOC111102490,3,2,1
LOC111102493,2,1,1
LOC111102495,9,7,2
LOC111102500,1,2,-1
LOC111102502,0,1,-1
LOC111102504,3,2,1
LOC111102507,1,0,1
LOC111102510,1,2,-1
LOC111102519,1,2,-1
LOC111102522,1,0,1
LOC111102526,2,3,-1
LOC111102536,2,1,1
LOC111102540,0,1,-1
LOC111102543,0,1,-1
LOC111102547,0,1,-1
LOC111102557,0,1,-1
LOC111102566,0,1,-1
LOC111102567,1,2,-1
LOC111102569,1,2,-1
LOC111102582,0,1,-1
LOC111102587,1,3,-2
LOC111102597,1,2,-1
LOC111102600,2,1,1
LOC111102610,4,3,1
LOC111102618,0,1,-1
LOC111102629,0,1,-1
LOC111102646,0,1,-1
LOC111102648,1,2,-1
LOC111102657,0,1,-1
LOC111102660,1,2,-1
LOC111102662,1,2,-1
LOC111102663,0,2,-2
LOC111102674,3,2,1
LOC111102675,7,6,1
LOC111102677,2,3,-1
LOC111102686,1,2,-1
LOC111102712,0,1,-1
LOC111102717,1,3,-2
LOC111102721,0,2,-2
LOC111102730,1,0,1
LOC111102745,4,3,1
LOC111102747,3,2,1
LOC111102758,4,5,-1
LOC111102779,3,1,2
LOC111102786,0,1,-1
LOC111102787,2,1,1
LOC111102801,4,3,1
LOC111102813,2,1,1
LOC111102817,8,3,5
LOC111102833,22,21,1
LOC111102835,3,1,2
LOC111102841,3,4,-1
LOC111102848,1,0,1
LOC111102852,2,1,1
LOC111102853,2,3,-1
LOC111102865,2,1,1
LOC111102872,3,2,1
LOC111102888,1,2,-1
LOC111102899,0,2,-2
LOC111102903,2,3,-1
LOC111102911,2,1,1
LOC111102923,3,2,1
LOC111102933,2,1,1
LOC111102936,1,2,-1
LOC111102941,1,2,-1
LOC111102943,2,1,1
LOC111102948,0,1,-1
LOC111102952,0,1,-1
LOC111102960,3,2,1
LOC111102963,1,2,-1
LOC111102966,1,2,-1
LOC111102968,0,1,-1
LOC111102976,0,1,-1
LOC111102981,2,1,1
LOC111102982,3,2,1
LOC111102985,0,1,-1
LOC111102989,1,2,-1
LOC111102995,0,2,-2
LOC111103002,3,2,1
LOC111103003,2,4,-2
LOC111103015,6,2,4
LOC111103018,4,3,1
LOC111103019,4,3,1
LOC111103020,2,1,1
LOC111103028,1,2,-1
LOC111103034,1,0,1
LOC111103039,2,1,1
LOC111103061,7,5,2
LOC111103065,1,0,1
LOC111103071,2,1,1
LOC111103075,2,4,-2
LOC111103085,1,0,1
LOC111103087,1,3,-2
LOC111103089,0,1,-1
LOC111103090,6,5,1
LOC111103099,1,2,-1
LOC111103100,0,1,-1
LOC111103101,0,1,-1
LOC111103102,0,1,-1
LOC111103111,0,1,-1
LOC111103112,2,1,1
LOC111103119,2,3,-1
LOC111103125,0,1,-1
LOC111103131,1,2,-1
LOC111103138,1,0,1
LOC111103141,0,1,-1
LOC111103147,0,1,-1
LOC111103148,3,4,-1
LOC111103153,1,2,-1
LOC111103155,2,1,1
LOC111103157,4,5,-1
LOC111103161,0,1,-1
LOC111103169,1,2,-1
LOC111103172,3,1,2
LOC111103176,2,5,-3
LOC111103183,0,1,-1
LOC111103187,0,1,-1
LOC111103190,2,1,1
LOC111103191,2,1,1
LOC111103196,0,1,-1
LOC111103207,2,1,1
LOC111103214,3,2,1
LOC111103222,0,1,-1
LOC111103223,8,6,2
LOC111103234,3,4,-1
LOC111103238,3,2,1
LOC111103241,0,1,-1
LOC111103243,1,0,1
LOC111103244,14,6,8
LOC111103253,2,1,1
LOC111103262,2,1,1
LOC111103263,1,2,-1
LOC111103270,7,2,5
LOC111103278,0,1,-1
LOC111103287,16,12,4
LOC111103295,0,1,-1
LOC111103300,0,1,-1
LOC111103302,0,1,-1
LOC111103308,0,1,-1
LOC111103324,0,1,-1
LOC111103336,0,1,-1
LOC111103338,2,1,1
LOC111103342,3,2,1
LOC111103344,11,10,1
LOC111103345,16,18,-2
LOC111103357,6,5,1
LOC111103365,0,1,-1
LOC111103366,6,4,2
LOC111103369,0,1,-1
LOC111103370,5,4,1
LOC111103375,6,7,-1
LOC111103381,3,2,1
LOC111103387,6,5,1
LOC111103393,6,7,-1
LOC111103396,9,8,1
LOC111103398,2,1,1
LOC111103404,2,1,1
LOC111103405,3,4,-1
LOC111103417,1,2,-1
LOC111103418,2,1,1
LOC111103426,1,0,1
LOC111103430,7,5,2
LOC111103431,9,7,2
LOC111103433,0,1,-1
LOC111103435,0,1,-1
LOC111103440,0,1,-1
LOC111103441,6,5,1
LOC111103443,6,2,4
LOC111103446,0,1,-1
LOC111103456,0,1,-1
LOC111103458,1,0,1
LOC111103462,1,0,1
LOC111103467,2,1,1
LOC111103477,0,1,-1
LOC111103480,7,5,2
LOC111103483,1,0,1
LOC111103485,4,5,-1
LOC111103487,1,2,-1
LOC111103488,0,1,-1
LOC111103494,2,1,1
LOC111103505,1,2,-1
LOC111103506,0,1,-1
LOC111103510,2,1,1
LOC111103511,2,3,-1
LOC111103514,6,4,2
LOC111103519,3,2,1
LOC111103536,1,0,1
LOC111103537,0,1,-1
LOC111103550,1,2,-1
LOC111103551,0,1,-1
LOC111103553,2,3,-1
LOC111103560,4,5,-1
LOC111103565,3,1,2
LOC111103566,1,0,1
LOC111103570,2,3,-1
LOC111103576,0,1,-1
LOC111103578,2,1,1
LOC111103581,3,2,1
LOC111103587,3,4,-1
LOC111103589,6,5,1
LOC111103591,1,2,-1
LOC111103594,3,2,1
LOC111103596,7,5,2
LOC111103631,3,0,3
LOC111103635,4,3,1
LOC111103639,0,1,-1
LOC111103646,6,4,2
LOC111103649,3,2,1
LOC111103651,1,2,-1
LOC111103652,3,2,1
LOC111103655,4,2,2
LOC111103658,3,5,-2
LOC111103664,4,1,3
LOC111103670,0,1,-1
LOC111103674,1,0,1
LOC111103676,7,6,1
LOC111103678,0,1,-1
LOC111103679,0,1,-1
LOC111103684,2,1,1
LOC111103692,4,3,1
LOC111103720,0,1,-1
LOC111103724,0,1,-1
LOC111103725,0,1,-1
LOC111103737,0,1,-1
