"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"6537","LOC111112744",4.18181818181818,5.36363636363636,11.9090909090909,6.33333333333333,5,1,1.28260869565217,2.84782608695652,1.51449275362319,1.19565217391304,0.239130434782609
"6538","LOC111112745",1,7,1,1,1,4,7,1,1,1,4
"6539","LOC111112746",7,12,14,NA,NA,NA,1.71428571428571,2,NA,NA,NA
"6540","LOC111112747",40,48,83.6666666666667,45,70,48,1.2,2.09166666666667,1.125,1.75,1.2
"6541","LOC111112748",33,79,518,46,37,60,2.39393939393939,15.6969696969697,1.39393939393939,1.12121212121212,1.81818181818182
"6542","LOC111112749",65,128,154,19,8,36,1.96923076923077,2.36923076923077,0.292307692307692,0.123076923076923,0.553846153846154
"6543","LOC111112750",115,275,154,134,49,34,2.39130434782609,1.33913043478261,1.16521739130435,0.426086956521739,0.295652173913043
"6544","LOC111112752",387,391,549,317.4,335,386,1.01033591731266,1.41860465116279,0.82015503875969,0.865633074935401,0.997416020671835
"6545","LOC111112758",132,289,536,169,694,637,2.18939393939394,4.06060606060606,1.28030303030303,5.25757575757576,4.82575757575758
"6546","LOC111112761",1299,1552,1499,1716.4,732,547,1.19476520400308,1.15396458814473,1.32132409545804,0.5635103926097,0.421093148575828
"6547","LOC111112762",5,10,4,1,4,0,2,0.8,0.2,0.8,0
"6548","LOC111112763",14,2,0,0,0,0,0.142857142857143,0,0,0,0
"6549","LOC111112765",13,17,11,18,21,19,1.30769230769231,0.846153846153846,1.38461538461538,1.61538461538462,1.46153846153846
"6550","LOC111112767",19,49,NA,NA,NA,NA,2.57894736842105,NA,NA,NA,NA
"6551","LOC111112770",26,1,3,4,70,NA,0.0384615384615385,0.115384615384615,0.153846153846154,2.69230769230769,NA
"6552","LOC111112771",7,8,9,NA,NA,NA,1.14285714285714,1.28571428571429,NA,NA,NA
"6553","LOC111112773",9,26,3,1,NA,NA,2.88888888888889,0.333333333333333,0.111111111111111,NA,NA
"6554","LOC111112779",776.166666666667,1748.33333333333,1548.33333333333,NA,NA,NA,2.25252308353017,1.99484646768306,NA,NA,NA
"6555","LOC111112780",21.1428571428571,13.1428571428571,27.1428571428571,41.7142857142857,46.1428571428571,54.5714285714286,0.621621621621622,1.28378378378378,1.97297297297297,2.18243243243243,2.58108108108108
"6556","LOC111112791",28.6666666666667,40.6666666666667,40.3333333333333,39.6666666666667,36.3333333333333,24.6666666666667,1.41860465116279,1.40697674418605,1.38372093023256,1.26744186046512,0.86046511627907
"6557","LOC111112793",5,27,27,191,NA,NA,5.4,5.4,38.2,NA,NA
"6558","LOC111112794",19.125,69,100.5,29.75,55,77,3.6078431372549,5.25490196078431,1.55555555555556,2.87581699346405,4.02614379084967
"6559","LOC111112795",8,9,11,17,11,5,1.125,1.375,2.125,1.375,0.625
"6560","LOC111112796",136,286,297,NA,NA,NA,2.10294117647059,2.18382352941176,NA,NA,NA
"6561","LOC111112797",9,21,17,19,23,15,2.33333333333333,1.88888888888889,2.11111111111111,2.55555555555556,1.66666666666667
"6562","LOC111112798",4,2,26,NA,NA,NA,0.5,6.5,NA,NA,NA
"6563","LOC111112799",39,65,158,NA,NA,NA,1.66666666666667,4.05128205128205,NA,NA,NA
"6564","LOC111112800",20,22,15.5,68,123,NA,1.1,0.775,3.4,6.15,NA
"6565","LOC111112801",5,39,45,9,13,6,7.8,9,1.8,2.6,1.2
"6566","LOC111112804",25,49,NA,NA,NA,NA,1.96,NA,NA,NA,NA
"6567","LOC111112805",58,98,NA,NA,NA,NA,1.68965517241379,NA,NA,NA,NA
"6568","LOC111112806",54,82,155,139,93,107,1.51851851851852,2.87037037037037,2.57407407407407,1.72222222222222,1.98148148148148
"6569","LOC111112807",253,409,554,757,861,441,1.61660079051383,2.1897233201581,2.99209486166008,3.40316205533597,1.74308300395257
"6570","LOC111112808",230,119,141,142,38,55,0.517391304347826,0.61304347826087,0.617391304347826,0.165217391304348,0.239130434782609
"6571","LOC111112809",5,9,6,9,9,21,1.8,1.2,1.8,1.8,4.2
"6572","LOC111112816",39,41,41,40,39,39,1.05128205128205,1.05128205128205,1.02564102564103,1,1
"6573","LOC111112818",71,58,62,58,68,87,0.816901408450704,0.873239436619718,0.816901408450704,0.957746478873239,1.22535211267606
"6574","LOC111112819",15,8,5,8,6,7,0.533333333333333,0.333333333333333,0.533333333333333,0.4,0.466666666666667
"6575","LOC111112822",35,2,3,3,4,9,0.0571428571428571,0.0857142857142857,0.0857142857142857,0.114285714285714,0.257142857142857
"6576","LOC111112823",33,33,40,40,43,39,1,1.21212121212121,1.21212121212121,1.3030303030303,1.18181818181818
"6577","LOC111112825",46,36.5,35,40,33,35,0.793478260869565,0.760869565217391,0.869565217391304,0.717391304347826,0.760869565217391
