"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"11832","LOC111121781",24,27,8,22,37,28,1.125,0.333333333333333,0.916666666666667,1.54166666666667,1.16666666666667
"11833","LOC111121784",53,103,NA,NA,NA,NA,1.94339622641509,NA,NA,NA,NA
"11834","LOC111121786",18,36.5,223,NA,NA,NA,2.02777777777778,12.3888888888889,NA,NA,NA
"11835","LOC111121788",107,106,NA,NA,NA,NA,0.990654205607477,NA,NA,NA,NA
"11836","LOC111121789",31,5,10,27,22,NA,0.161290322580645,0.32258064516129,0.870967741935484,0.709677419354839,NA
"11837","LOC111121790",32,32,54,57,43,35,1,1.6875,1.78125,1.34375,1.09375
"11838","LOC111121791",29,34,67,37,24,28,1.17241379310345,2.31034482758621,1.27586206896552,0.827586206896552,0.96551724137931
"11839","LOC111121792",30,46,24,29,29,37,1.53333333333333,0.8,0.966666666666667,0.966666666666667,1.23333333333333
"11840","LOC111121793",60,56,41,37,51,NA,0.933333333333333,0.683333333333333,0.616666666666667,0.85,NA
"11841","LOC111121794",139,37,19,40,41,NA,0.266187050359712,0.136690647482014,0.287769784172662,0.294964028776978,NA
"11842","LOC111121795",52,35,26,25,15,21,0.673076923076923,0.5,0.480769230769231,0.288461538461538,0.403846153846154
"11843","LOC111121796",1684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11844","LOC111121797",1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11845","LOC111121798",2264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11846","LOC111121799",2897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11847","LOC111121800",4985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11848","LOC111121801",1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11849","LOC111121802",2174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11850","LOC111121803",1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11851","LOC111121804",1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11852","LOC111121805",1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11853","LOC111121806",2222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
