GOslim.BP	Term	GO.IDs	Genes
GO:0007018	microtubule-based movement	GO:0003341;GO:0003351;GO:0003352;GO:0003356;GO:0007079;GO:0007288;GO:0008088;GO:0008089;GO:0008090;GO:0010970;GO:0016344;GO:0019896;GO:0021817;GO:0030317;GO:0030473;GO:0031534;GO:0035720;GO:0035721;GO:0035735;GO:0036250;GO:0042073;GO:0047496;GO:0047497;GO:0048490;GO:0048491;GO:0051012;GO:0051758;GO:0060287;GO:0060294;GO:0060296;GO:0060632;GO:0072383;GO:0072384;GO:0072385;GO:0090660;GO:0098840;GO:0098930;GO:0098939;GO:0098957;GO:0098958;GO:0098963;GO:0098971;GO:0099606;GO:0099641;GO:0120197;GO:0120221;GO:0120316;GO:0120317;GO:1901317;GO:1901318;GO:1901610;GO:1902093;GO:1903744;GO:1905799;GO:1990953; GO:0007018	LOC111128568,LOC111128582,LOC111100876,LOC111121635,LOC111119280,LOC111120031,LOC111118145,LOC111124938,LOC111125250,LOC111125253,LOC111122784,LOC111127636,LOC111123434,LOC111124887,LOC111127536,LOC111125323,LOC111122642,LOC111123910,LOC111125828,LOC111127072,LOC111122944,LOC111129250,LOC111129218,LOC111129512,LOC111129512,LOC111130353,LOC111129936,LOC111130343,LOC111129396,LOC111130011,LOC111130047,LOC111129855,LOC111137169,LOC111137472,LOC111134321,LOC111136776,LOC111134843,LOC111137112,LOC111137112,LOC111137936,LOC111137947,LOC111137947,LOC111137947,LOC111137947,LOC111138063,LOC111137096,LOC111104160,LOC111103394,LOC111103820,LOC111109885,LOC111109885,LOC111105806,LOC111105806,LOC111107250,LOC111110008,LOC111109773,LOC111108589,LOC111113548,LOC111112418,LOC111112623,LOC111113447,LOC111117133
GO:0007031	peroxisome organization	GO:0006625;GO:0016557;GO:0016558;GO:0016559;GO:0016560;GO:0016561;GO:0016562;GO:0044721;GO:0045046;GO:0072663;GO:1900063; GO:0007031	LOC111106696,LOC111124897,LOC111135419,LOC111135201,LOC111134894
GO:0007040	lysosome organization	GO:0001845;GO:0007042;GO:0035751;GO:0035752;GO:0061763;GO:0090384;GO:0090385;GO:0090389;GO:0097213;GO:1905671;GO:1905673; GO:0007040	LOC111114727,LOC111114448,LOC111111122,LOC111112175,LOC111116933
GO:0007059	chromosome segregation	GO:0000022;GO:0000070;GO:0000712;GO:0000819;GO:0007060;GO:0007062;GO:0007064;GO:0007076;GO:0007079;GO:0007080;GO:0007091;GO:0007094;GO:0007129;GO:0007130;GO:0008608;GO:0010965;GO:0016321;GO:0016344;GO:0030071;GO:0032837;GO:0032888;GO:0033316;GO:0034085;GO:0034087;GO:0034088;GO:0034184;GO:0043060;GO:0045132;GO:0045141;GO:0045143;GO:0045841;GO:0045842;GO:0045875;GO:0051026;GO:0051177;GO:0051231;GO:0051256;GO:0051304;GO:0051307;GO:0051308;GO:0051309;GO:0051310;GO:0051315;GO:0051754;GO:0051758;GO:0051983;GO:0051984;GO:0051987;GO:0051988;GO:0060629;GO:0061780;GO:0062033;GO:0070197;GO:0071922;GO:0071962;GO:0090235;GO:0090266;GO:0090267;GO:0098813;GO:0099606;GO:0099607;GO:1901970;GO:1902424;GO:1902425;GO:1902426;GO:1904908;GO:1905213;GO:1905820;GO:2000719; GO:0007059	LOC111132123,LOC111104252,LOC111115046
GO:0007155	cell adhesion	GO:0001952;GO:0001953;GO:0001954;GO:0003274;GO:0003336;GO:0003366;GO:0006931;GO:0006933;GO:0007156;GO:0007157;GO:0007158;GO:0007159;GO:0007160;GO:0007161;GO:0007162;GO:0007299;GO:0010810;GO:0010811;GO:0010812;GO:0016338;GO:0016339;GO:0016340;GO:0022407;GO:0022408;GO:0022409;GO:0030155;GO:0031295;GO:0031589;GO:0033089;GO:0033092;GO:0033627;GO:0033628;GO:0033629;GO:0033630;GO:0033631;GO:0033633;GO:0034109;GO:0034110;GO:0034111;GO:0034112;GO:0034113;GO:0034115;GO:0034116;GO:0034446;GO:0042102;GO:0042104;GO:0042130;GO:0043371;GO:0043378;GO:0043381;GO:0043382;GO:0044331;GO:0045582;GO:0045585;GO:0045588;GO:0045590;GO:0045591;GO:0045623;GO:0045627;GO:0045629;GO:0045785;GO:0046007;GO:0046638;GO:0046641;GO:0048041;GO:0050868;GO:0050870;GO:0050901;GO:0051042;GO:0051138;GO:0051142;GO:0051893;GO:0051894;GO:0051895;GO:0060232;GO:0060234;GO:0060710;GO:0061343;GO:0061344;GO:0070527;GO:0071593;GO:0071603;GO:0090136;GO:0090330;GO:0090331;GO:0090673;GO:0097323;GO:0098508;GO:0098609;GO:0098742;GO:0099179;GO:0099560;GO:0120078;GO:0140039;GO:1900024;GO:1900025;GO:1900026;GO:1901731;GO:1902233;GO:1903037;GO:1903039;GO:1903236;GO:1903238;GO:1903386;GO:1903387;GO:1904906;GO:1904996;GO:1904999;GO:1905609;GO:2000047;GO:2000048;GO:2000049;GO:2000098;GO:2000320;GO:2000321;GO:2000329;GO:2000429;GO:2000562;GO:2000568; GO:0007155	LOC111115123,LOC111118385,LOC111125124,LOC111125483,LOC111135949
GO:0007163	establishment or maintenance of cell polarity	GO:0000132;GO:0001770;GO:0003365;GO:0003412;GO:0007464;GO:0008103;GO:0016318;GO:0016325;GO:0016332;GO:0016334;GO:0016336;GO:0030010;GO:0030011;GO:0030714;GO:0030950;GO:0030951;GO:0032878;GO:0035088;GO:0035089;GO:0035090;GO:0042067;GO:0042248;GO:0045197;GO:0045198;GO:0045199;GO:0045200;GO:0045317;GO:0051294;GO:0061162;GO:0061172;GO:0071963;GO:0090162;GO:0090164;GO:2000114;GO:2000769;GO:2000784; GO:0007163	LOC111113238,LOC111118154,LOC111119594,LOC111119594,LOC111119907,LOC111119258,LOC111122075,LOC111118957,LOC111121042,LOC111124939,LOC111124018,LOC111125649,LOC111125452,LOC111126706,LOC111129487,LOC111130875,LOC111134439,LOC111134926,LOC111132966,LOC111102685,LOC111114727,LOC111115720
GO:0012501	programmed cell death	GO:0001783;GO:0001836;GO:0001844;GO:0002902;GO:0002903;GO:0002904;GO:0002906;GO:0006309;GO:0006915;GO:0006924;GO:0006925;GO:0008625;GO:0008626;GO:0008627;GO:0008630;GO:0008631;GO:0008637;GO:0010623;GO:0010656;GO:0010659;GO:0010660;GO:0010666;GO:0010667;GO:0030262;GO:0030263;GO:0032976;GO:0033024;GO:0033027;GO:0033028;GO:0033030;GO:0033031;GO:0033033;GO:0033034;GO:0034050;GO:0034051;GO:0034349;GO:0034351;GO:0034352;GO:0034390;GO:0034391;GO:0034392;GO:0034393;GO:0035071;GO:0035234;GO:0036462;GO:0036481;GO:0042771;GO:0042981;GO:0043065;GO:0043066;GO:0043067;GO:0043068;GO:0043069;GO:0043154;GO:0043276;GO:0043523;GO:0043524;GO:0043525;GO:0043653;GO:0044336;GO:0044337;GO:0044346;GO:0046666;GO:0046667;GO:0048102;GO:0051402;GO:0051712;GO:0060057;GO:0060058;GO:0060544;GO:0060545;GO:0060546;GO:0060561;GO:0060785;GO:0061364;GO:0070059;GO:0070227;GO:0070231;GO:0070233;GO:0070236;GO:0070242;GO:0070243;GO:0070247;GO:0070266;GO:0070269;GO:0070782;GO:0071839;GO:0071887;GO:0072305;GO:0072332;GO:0072577;GO:0090200;GO:0090201;GO:0097048;GO:0097049;GO:0097050;GO:0097190;GO:0097191;GO:0097192;GO:0097193;GO:0097194;GO:0097283;GO:0097284;GO:0097300;GO:0097345;GO:0097473;GO:0097527;GO:0110075;GO:0110088;GO:0110091;GO:0140208;GO:0140639;GO:0160020;GO:1900118;GO:1900119;GO:1900212;GO:1900215;GO:1900218;GO:1900740;GO:1901028;GO:1901029;GO:1901030;GO:1901299;GO:1901300;GO:1902041;GO:1902042;GO:1902043;GO:1902108;GO:1902109;GO:1902110;GO:1902165;GO:1902166;GO:1902172;GO:1902174;GO:1902175;GO:1902176;GO:1902177;GO:1902217;GO:1902219;GO:1902230;GO:1902231;GO:1902235;GO:1902236;GO:1902237;GO:1902238;GO:1902254;GO:1902255;GO:1902262;GO:1902263;GO:1902338;GO:1902362;GO:1902443;GO:1902445;GO:1902510;GO:1902511;GO:1902512;GO:1902686;GO:1902742;GO:1903122;GO:1903298;GO:1903376;GO:1903377;GO:1903378;GO:1903382;GO:1903384;GO:1903751;GO:1903944;GO:1903984;GO:1904019;GO:1904036;GO:1904037;GO:1904093;GO:1904193;GO:1904649;GO:1904747;GO:1905259;GO:1905288;GO:1905461;GO:1905584;GO:1905586;GO:1905782;GO:1990117;GO:1990144;GO:2000108;GO:2000109;GO:2000110;GO:2000111;GO:2000209;GO:2000210;GO:2000269;GO:2000270;GO:2000271;GO:2000351;GO:2000352;GO:2000353;GO:2000669;GO:2000671;GO:2000672;GO:2000673;GO:2000675;GO:2000811;GO:2001054;GO:2001233;GO:2001234;GO:2001235;GO:2001236;GO:2001237;GO:2001238;GO:2001239;GO:2001240;GO:2001241;GO:2001242;GO:2001243;GO:2001244;GO:2001268;GO:2001271; GO:0012501	LOC111103080,LOC111105030
GO:0015979	photosynthesis		NA
GO:0016071	mRNA metabolic process	GO:0000184;GO:0000244;GO:0000245;GO:0000288;GO:0000289;GO:0000290;GO:0000291;GO:0000294;GO:0000349;GO:0000350;GO:0000354;GO:0000380;GO:0000381;GO:0000387;GO:0000388;GO:0000389;GO:0000390;GO:0000395;GO:0000398;GO:0000956;GO:0000958;GO:0006370;GO:0006376;GO:0006378;GO:0006397;GO:0006398;GO:0006402;GO:0008334;GO:0009299;GO:0016556;GO:0031086;GO:0031087;GO:0031124;GO:0031440;GO:0031442;GO:0034402;GO:0034427;GO:0035279;GO:0042789;GO:0043488;GO:0043928;GO:0044528;GO:0045292;GO:0048024;GO:0048025;GO:0048026;GO:0048255;GO:0050684;GO:0050685;GO:0060212;GO:0060213;GO:0061014;GO:0061157;GO:0061158;GO:0070054;GO:0070478;GO:0070481;GO:0070934;GO:0070935;GO:0070966;GO:0071028;GO:0071042;GO:0071044;GO:0071045;GO:0080009;GO:0090367;GO:0090625;GO:0097222;GO:0097309;GO:0097310;GO:0106288;GO:0106289;GO:0110104;GO:1900151;GO:1900152;GO:1900153;GO:1900363;GO:1900364;GO:1900365;GO:1903241;GO:1905869;GO:1905870;GO:1990074;GO:1990481;GO:2000622;GO:2000623; GO:0016071	LOC111120644,LOC111118848,LOC111118849,LOC111120984,LOC111118183,LOC111118029,LOC111120384,LOC111121021,LOC111123630,LOC111125832,LOC111125280,LOC111122645,LOC111130065,LOC111129219,LOC111129063,LOC111128756,LOC111128793,LOC111131610,LOC111130790,LOC111135039,LOC111134286,LOC111136887,LOC111138487,LOC111136350,LOC111136530,LOC111136418,LOC111132118,LOC111099666,LOC111101410,LOC111108106,LOC111108043,LOC111113059,LOC111111412,LOC111114674,LOC111111718,LOC111113248
GO:0016073	snRNA metabolic process	GO:0009301;GO:0016076;GO:0016180;GO:0031120;GO:0034472;GO:0034473;GO:0034474;GO:0034475;GO:0034476;GO:0034477;GO:0040031;GO:0042795;GO:0042796;GO:0071037;GO:0120049;GO:1905382;GO:1990438; GO:0016073	LOC111128808,LOC111129895,LOC111122952,LOC111123150
GO:0016192	vesicle-mediated transport	GO:0000301;GO:0001845;GO:0001928;GO:0002031;GO:0002090;GO:0002091;GO:0002092;GO:0002552;GO:0002553;GO:0002554;GO:0002576;GO:0003400;GO:0006887;GO:0006888;GO:0006890;GO:0006891;GO:0006892;GO:0006893;GO:0006895;GO:0006896;GO:0006897;GO:0006898;GO:0006900;GO:0006901;GO:0006903;GO:0006904;GO:0006906;GO:0006907;GO:0006909;GO:0006910;GO:0006911;GO:0008228;GO:0008333;GO:0010807;GO:0010808;GO:0015842;GO:0016079;GO:0016080;GO:0016081;GO:0016082;GO:0016182;GO:0016183;GO:0016185;GO:0016189;GO:0016191;GO:0016197;GO:0017156;GO:0017157;GO:0017158;GO:0019065;GO:0020028;GO:0030100;GO:0031338;GO:0031339;GO:0031340;GO:0031623;GO:0031629;GO:0031630;GO:0032456;GO:0032458;GO:0032509;GO:0032510;GO:0032511;GO:0034058;GO:0034498;GO:0034499;GO:0035037;GO:0035459;GO:0035493;GO:0035494;GO:0035526;GO:0035542;GO:0035544;GO:0035654;GO:0035964;GO:0036465;GO:0036466;GO:0038009;GO:0038016;GO:0038096;GO:0042147;GO:0042997;GO:0042998;GO:0043001;GO:0043277;GO:0043303;GO:0043304;GO:0043306;GO:0043308;GO:0043312;GO:0043313;GO:0043314;GO:0043316;GO:0043320;GO:0043323;GO:0043328;GO:0043652;GO:0043654;GO:0044351;GO:0045022;GO:0045054;GO:0045055;GO:0045056;GO:0045324;GO:0045806;GO:0045807;GO:0045920;GO:0045921;GO:0045955;GO:0045956;GO:0048193;GO:0048194;GO:0048199;GO:0048203;GO:0048205;GO:0048208;GO:0048210;GO:0048211;GO:0048219;GO:0048227;GO:0048259;GO:0048260;GO:0048261;GO:0048278;GO:0048280;GO:0048488;GO:0048549;GO:0048550;GO:0048791;GO:0048792;GO:0050764;GO:0050765;GO:0050766;GO:0051469;GO:0055108;GO:0060100;GO:0060471;GO:0060478;GO:0060627;GO:0060628;GO:0061502;GO:0061763;GO:0061764;GO:0061789;GO:0061909;GO:0070086;GO:0070676;GO:0071985;GO:0072318;GO:0072583;GO:0072584;GO:0075509;GO:0090110;GO:0090114;GO:0090118;GO:0090119;GO:0090122;GO:0090160;GO:0090384;GO:0090385;GO:0090389;GO:0090522;GO:0097401;GO:0097712;GO:0098693;GO:0098700;GO:0098876;GO:0098884;GO:0098887;GO:0098943;GO:0098967;GO:0098968;GO:0098969;GO:0099003;GO:0099011;GO:0099022;GO:0099041;GO:0099044;GO:0099074;GO:0099149;GO:0099152;GO:0099158;GO:0099161;GO:0099502;GO:0099504;GO:0099525;GO:0099590;GO:0099638;GO:0099639;GO:0106022;GO:0120211;GO:0140238;GO:0150007;GO:0150037;GO:0150044;GO:0150093;GO:0160006;GO:1900242;GO:1900244;GO:1901076;GO:1901301;GO:1902953;GO:1902954;GO:1902955;GO:1903028;GO:1903233;GO:1903235;GO:1903307;GO:1903423;GO:1903435;GO:1903542;GO:1903543;GO:1903595;GO:1905279;GO:1905281;GO:1905303;GO:1905366;GO:1905413;GO:1905415;GO:1905450;GO:1905451;GO:1905598;GO:1990182;GO:1990771;GO:1990927;GO:2000286;GO:2000300;GO:2000301;GO:2000302;GO:2000367;GO:2000369;GO:2000370;GO:2000397;GO:2000641;GO:2000642;GO:2000643;GO:2000807;GO:2000808;GO:2000809;GO:2001135;GO:2001136;GO:2001137;GO:2001288; GO:0016192	LOC111121659,LOC111127005,LOC111129114,LOC111130405,LOC111130915,LOC111130183,LOC111129919,LOC111137144,LOC111137141,LOC111137055,LOC111110494,LOC111105763,LOC111105763,LOC111106044,LOC111107485
GO:0022414	reproductive process	GO:0000212;GO:0000706;GO:0000712;GO:0001541;GO:0001542;GO:0001544;GO:0001547;GO:0001549;GO:0001553;GO:0001554;GO:0001555;GO:0001556;GO:0001675;GO:0001893;GO:0002176;GO:0003006;GO:0006311;GO:0007053;GO:0007056;GO:0007057;GO:0007060;GO:0007110;GO:0007111;GO:0007112;GO:0007127;GO:0007129;GO:0007130;GO:0007131;GO:0007140;GO:0007141;GO:0007143;GO:0007144;GO:0007146;GO:0007147;GO:0007276;GO:0007279;GO:0007280;GO:0007281;GO:0007282;GO:0007283;GO:0007284;GO:0007286;GO:0007288;GO:0007289;GO:0007290;GO:0007291;GO:0007292;GO:0007293;GO:0007294;GO:0007295;GO:0007296;GO:0007297;GO:0007298;GO:0007299;GO:0007301;GO:0007303;GO:0007304;GO:0007306;GO:0007307;GO:0007308;GO:0007310;GO:0007314;GO:0007315;GO:0007316;GO:0007317;GO:0007318;GO:0007320;GO:0007338;GO:0007339;GO:0007340;GO:0007341;GO:0007342;GO:0007343;GO:0007344;GO:0007485;GO:0007530;GO:0007538;GO:0007548;GO:0007565;GO:0007566;GO:0007567;GO:0007617;GO:0007619;GO:0008049;GO:0008050;GO:0008103;GO:0008302;GO:0008315;GO:0008335;GO:0008354;GO:0008359;GO:0008406;GO:0008584;GO:0008585;GO:0009566;GO:0009793;GO:0009860;GO:0009908;GO:0010032;GO:0010183;GO:0010231;GO:0010588;GO:0010845;GO:0016321;GO:0016325;GO:0016344;GO:0016543;GO:0016545;GO:0016546;GO:0018991;GO:0018992;GO:0019100;GO:0019101;GO:0019749;GO:0022412;GO:0030237;GO:0030238;GO:0030317;GO:0030437;GO:0030539;GO:0030540;GO:0030703;GO:0030707;GO:0030708;GO:0030713;GO:0030714;GO:0030717;GO:0030719;GO:0030720;GO:0030723;GO:0030724;GO:0030725;GO:0030727;GO:0030728;GO:0030850;GO:0031322;GO:0032837;GO:0033206;GO:0033313;GO:0033316;GO:0033327;GO:0034606;GO:0034608;GO:0034609;GO:0035036;GO:0035037;GO:0035092;GO:0035112;GO:0035233;GO:0035234;GO:0035261;GO:0035262;GO:0035846;GO:0035848;GO:0040020;GO:0040038;GO:0042078;GO:0042138;GO:0042140;GO:0042698;GO:0042701;GO:0042711;GO:0043012;GO:0043060;GO:0044778;GO:0044849;GO:0045132;GO:0045136;GO:0045138;GO:0045141;GO:0045143;GO:0045433;GO:0045434;GO:0045451;GO:0045478;GO:0045835;GO:0045924;GO:0045925;GO:0046543;GO:0046544;GO:0046545;GO:0046546;GO:0046595;GO:0046661;GO:0046662;GO:0046693;GO:0046697;GO:0046843;GO:0046844;GO:0048047;GO:0048065;GO:0048132;GO:0048134;GO:0048135;GO:0048137;GO:0048142;GO:0048160;GO:0048232;GO:0048240;GO:0048467;GO:0048477;GO:0048515;GO:0048599;GO:0048608;GO:0048609;GO:0048803;GO:0048806;GO:0048807;GO:0048808;GO:0051026;GO:0051078;GO:0051177;GO:0051257;GO:0051295;GO:0051307;GO:0051308;GO:0051309;GO:0051321;GO:0051445;GO:0051446;GO:0051447;GO:0051598;GO:0051663;GO:0051729;GO:0051754;GO:0051758;GO:0060008;GO:0060009;GO:0060011;GO:0060046;GO:0060065;GO:0060068;GO:0060112;GO:0060135;GO:0060136;GO:0060137;GO:0060179;GO:0060180;GO:0060269;GO:0060278;GO:0060279;GO:0060282;GO:0060378;GO:0060466;GO:0060468;GO:0060471;GO:0060478;GO:0060513;GO:0060527;GO:0060529;GO:0060629;GO:0060631;GO:0060686;GO:0060706;GO:0060707;GO:0060708;GO:0060715;GO:0060736;GO:0060739;GO:0060740;GO:0060741;GO:0060742;GO:0060744;GO:0060745;GO:0060767;GO:0060770;GO:0060800;GO:0060903;GO:0061038;GO:0061040;GO:0061364;GO:0070192;GO:0070197;GO:0072520;GO:0080092;GO:0080154;GO:0090306;GO:0090727;GO:0097368;GO:0110032;GO:0110039;GO:0120211;GO:0120316;GO:0120317;GO:1900194;GO:1900195;GO:1901163;GO:1901165;GO:1901317;GO:1901318;GO:1902093;GO:1902435;GO:1902441;GO:1902917;GO:1903537;GO:1903688;GO:1904146;GO:1905198;GO:1905199;GO:1905516;GO:1905936;GO:1990918;GO:1990953;GO:2000020;GO:2000028;GO:2000194;GO:2000242;GO:2000243;GO:2000255;GO:2000256;GO:2000344;GO:2000359;GO:2000360;GO:2000367;GO:2000386;GO:2000388;GO:2000872; GO:0022414	LOC111128534,LOC111128436,LOC111118732,LOC111125022,LOC111124987,LOC111129524,LOC111132883,LOC111101036,LOC111104252,LOC111115784
GO:0022600	digestive system process	GO:0001698;GO:0030157;GO:0030277;GO:0030299;GO:0030421;GO:0035482;GO:0035483;GO:0043134;GO:0045797;GO:0046541;GO:0046878;GO:0050892;GO:0060453;GO:0060729;GO:0060731;GO:0071626;GO:0090188;GO:0098856;GO:0120056;GO:0120058;GO:1902277;GO:1904729;GO:1905333;GO:1905747;GO:2000293	LOC111104451,LOC111103842
