LOC111104820 rna-XM_022438960.1
LOC111104823 rna-XM_022438965.1
LOC111104830 rna-XR_002634976.1
LOC111104834 rna-XM_022438983.1
LOC111105230 rna-XM_022439395.1
LOC111105262 rna-XM_022439442.1
LOC111105274 rna-XM_022439464.1
LOC111105304 rna-XM_022439519.1
LOC111105312 rna-XM_022439529.1
LOC111105317 rna-XM_022439538.1
LOC111105356 rna-XM_022439599.1
LOC111105362 rna-XR_002635018.1
LOC111105367 rna-XM_022439627.1
LOC111105368 rna-XM_022439742.1
LOC111105397 rna-XM_022439678.1
LOC111105405 rna-XM_022439684.1
LOC111105431 rna-XM_022439723.1
LOC111105450 rna-XM_022439754.1
LOC111105478 rna-XR_002635044.1
LOC111105494 rna-XM_022439819.1
LOC111105496 rna-XM_022439823.1
LOC111105509 rna-XM_022439843.1
LOC111105510 rna-XM_022439849.1
LOC111105516 rna-XM_022439862.1
LOC111105545 rna-XM_022439888.1
LOC111105547 rna-XM_022439894.1
LOC111105575 rna-XM_022439931.1
LOC111105619 rna-XM_022440006.1
LOC111105624 rna-XM_022439994.1
LOC111105631 rna-XR_002635077.1
LOC111105636 rna-XR_002635078.1
LOC111105679 rna-XM_022440029.1
LOC111105686 rna-XM_022440044.1
LOC111105688 rna-XM_022440046.1
LOC111105708 rna-XM_022440066.1
LOC111105754 rna-XM_022440136.1
LOC111105770 rna-XM_022440154.1
LOC111105801 rna-XR_002635113.1
LOC111105807 rna-XR_002635175.1
LOC111105812 rna-XM_022440212.1
LOC111105824 rna-XR_002635120.1
LOC111105830 rna-XM_022440254.1
LOC111105835 rna-XM_022440264.1
LOC111105840 rna-XM_022440279.1
LOC111105855 rna-XR_002635122.1
LOC111105856 rna-XM_022440310.1
LOC111105880 rna-XM_022440345.1
LOC111105920 rna-XM_022440406.1
LOC111105921 rna-XM_022440409.1
LOC111105923 rna-XM_022440418.1
LOC111105939 rna-XR_002635132.1
LOC111105949 rna-XM_022440459.1
LOC111105983 rna-XR_002635136.1
LOC111106042 rna-XM_022440561.1
LOC111106057 rna-XM_022440579.1
LOC111106139 rna-XR_002635170.1
LOC111106142 rna-XM_022440690.1
LOC111106152 rna-XM_022440701.1
LOC111106175 rna-XR_002635180.1
LOC111106199 rna-XM_022440767.1
LOC111106214 rna-XM_022440789.1
LOC111106219 rna-XM_022440803.1
LOC111106238 rna-XM_022440828.1
LOC111106240 rna-XM_022440842.1
LOC111106242 rna-XM_022440844.1
LOC111106260 rna-XM_022440864.1
LOC111106294 rna-XM_022440911.1
LOC111106336 rna-XM_022440977.1
LOC111106418 rna-XM_022441086.1
LOC111106420 rna-XM_022441089.1
LOC111106425 rna-XM_022441098.1
LOC111106436 rna-XR_002635214.1
LOC111106461 rna-XM_022441145.1
LOC111106471 rna-XM_022441166.1
LOC111106480 rna-XM_022441178.1
LOC111106578 rna-XM_022441304.1
LOC111106611 rna-XM_022441343.1
LOC111106629 rna-XM_022441366.1
LOC111106630 rna-XM_022441368.1
LOC111106639 rna-XM_022441387.1
LOC111106656 rna-XM_022441419.1
LOC111106711 rna-XM_022441497.1
LOC111106729 rna-XM_022441519.1
LOC111106749 rna-XM_022441546.1
LOC111106790 rna-XM_022441610.1
LOC111106802 rna-XM_022441625.1
LOC111106830 rna-XM_022441657.1
LOC111106837 rna-XM_022441683.1
LOC111106867 rna-XM_022441729.1
LOC111106900 rna-XM_022441782.1
LOC111106915 rna-XR_002635314.1
LOC111106975 rna-XM_022441876.1
LOC111106996 rna-XR_002635322.1
LOC111107040 rna-XM_022441983.1
LOC111107085 rna-XM_022442053.1
LOC111107185 rna-XM_022442231.1
LOC111107186 rna-XM_022442239.1
LOC111107208 rna-XM_022442291.1
LOC111107272 rna-XM_022442387.1
LOC111107316 rna-XM_022442454.1
LOC111107328 rna-XM_022442483.1
LOC111107342 rna-XM_022442504.1
LOC111107349 rna-XM_022442517.1
LOC111107351 rna-XM_022442525.1
LOC111107370 rna-XM_022442559.1
LOC111107393 rna-XM_022442575.1
LOC111107404 rna-XM_022442592.1
LOC111107409 rna-XM_022442602.1
LOC111107424 rna-XM_022442661.1
LOC111107427 rna-XM_022442625.1
LOC111107486 rna-XM_022442704.1
LOC111107493 rna-XM_022442716.1
LOC111107523 rna-XM_022442771.1
LOC111107551 rna-XM_022443006.1
LOC111107560 rna-XR_002635418.1
LOC111107627 rna-XM_022442906.1
LOC111107631 rna-XR_002635423.1
LOC111107668 rna-XM_022442966.1
LOC111107671 rna-XM_022442975.1
LOC111107731 rna-XM_022443065.1
LOC111107786 rna-XM_022443135.1
LOC111107792 rna-XM_022443146.1
LOC111107815 rna-XM_022443178.1
LOC111107822 rna-XM_022443185.1
LOC111107926 rna-XM_022443360.1
LOC111107933 rna-XM_022443385.1
LOC111107947 rna-XR_002635476.1
LOC111108010 rna-XM_022443489.1
LOC111108016 rna-XM_022443498.1
LOC111108022 rna-XM_022443504.1
LOC111108045 rna-XR_002635523.1
LOC111108046 rna-XM_022443538.1
LOC111108050 rna-XM_022443546.1
LOC111108081 rna-XM_022443600.1
LOC111108086 rna-XM_022443629.1
LOC111108108 rna-XM_022443678.1
LOC111108120 rna-XM_022443696.1
LOC111108143 rna-XM_022443753.1
LOC111108144 rna-XM_022443754.1
LOC111108176 rna-XM_022443815.1
LOC111108185 rna-XM_022443836.1
LOC111108218 rna-XM_022443952.1
LOC111108249 rna-XM_022444126.1
LOC111108265 rna-XM_022444032.1
LOC111108274 rna-XM_022444046.1
LOC111108323 rna-XR_002635559.1
LOC111108341 rna-XM_022444149.1
LOC111108370 rna-XM_022444196.1
LOC111108381 rna-XM_022444221.1
LOC111108388 rna-XM_022444237.1
LOC111108398 rna-XM_022444252.1
LOC111108451 rna-XM_022444350.1
LOC111108479 rna-XM_022444397.1
LOC111108491 rna-XM_022444421.1
LOC111108501 rna-XM_022444435.1
LOC111108503 rna-XM_022444445.1
LOC111108545 rna-XM_022444521.1
LOC111108554 rna-XM_022444535.1
LOC111108642 rna-XM_022444644.1
LOC111108654 rna-XM_022444676.1
LOC111108662 rna-XM_022444689.1
LOC111108670 rna-XM_022444700.1
LOC111108677 rna-XM_022444714.1
LOC111108693 rna-XM_022444726.1
LOC111108695 rna-XR_002635623.1
LOC111108696 rna-XM_022444729.1
LOC111108724 rna-XM_022444769.1
LOC111108726 rna-XM_022444774.1
LOC111108728 rna-XM_022444779.1
LOC111108732 rna-XM_022444786.1
LOC111108772 rna-XM_022444846.1
LOC111108777 rna-XM_022444848.1
LOC111108788 rna-XM_022444871.1
LOC111108901 rna-XM_022445010.1
LOC111109043 rna-XM_022445134.1
LOC111109174 rna-XM_022445258.1
LOC111109432 rna-XM_022445533.1
LOC111109468 rna-XM_022445595.1
LOC111109471 rna-XM_022445602.1
LOC111109483 rna-XM_022445616.1
LOC111109484 rna-XR_002635639.1
LOC111109487 rna-XM_022445623.1
LOC111109585 rna-XM_022445765.1
LOC111109590 rna-XM_022445777.1
LOC111109592 rna-XM_022445779.1
LOC111109635 rna-XM_022445839.1
LOC111109755 rna-XM_022445983.1
LOC111109768 rna-XM_022445996.1
LOC111109814 rna-XM_022446054.1
LOC111109821 rna-XM_022446062.1
LOC111109868 rna-XM_022446123.1
LOC111109885 rna-XM_022446144.1
LOC111109930 rna-XR_002635730.1
LOC111109962 rna-XM_022446241.1
LOC111109973 rna-XM_022446262.1
LOC111110021 rna-XM_022446333.1
LOC111110024 rna-XM_022446338.1
LOC111110028 rna-XM_022446351.1
LOC111110033 rna-XM_022446356.1
LOC111110045 rna-XM_022446378.1
LOC111110073 rna-XM_022446405.1
LOC111110093 rna-XM_022446447.1
LOC111110101 rna-XR_002635761.1
LOC111110107 rna-XM_022446467.1
LOC111110120 rna-XM_022446483.1
LOC111110127 rna-XM_022446498.1
LOC111110139 rna-XR_002635767.1
LOC111110199 rna-XM_022446591.1
LOC111110239 rna-XM_022446647.1
LOC111110243 rna-XM_022446649.1
LOC111110244 rna-XM_022446654.1
LOC111110250 rna-XM_022446663.1
LOC111110260 rna-XM_022446680.1
LOC111110280 rna-XM_022446703.1
LOC111110297 rna-XM_022446730.1
LOC111110337 rna-XM_022446792.1
LOC111110352 rna-XM_022446823.1
LOC111110371 rna-XM_022446847.1
LOC111110395 rna-XM_022446881.1
LOC111110398 rna-XM_022446885.1
LOC111110399 rna-XM_022446888.1
LOC111110478 rna-XM_022447003.1
LOC111110501 rna-XM_022447292.1
LOC111110503 rna-XM_022447030.1
LOC111110509 rna-XM_022447041.1
LOC111110540 rna-XM_022447078.1
LOC111110625 rna-XM_022447199.1
LOC111110633 rna-XM_022447211.1
LOC111110640 rna-XM_022447223.1
LOC111110648 rna-XM_022447239.1
LOC111110659 rna-XM_022447252.1
LOC111110670 rna-XM_022447266.1
LOC111110671 rna-XM_022447269.1
LOC111110672 rna-XM_022447273.1
LOC111110715 rna-XM_022447303.1
LOC111110718 rna-XM_022447309.1
LOC111110720 rna-XM_022447311.1
LOC111110738 rna-XM_022447330.1
LOC111110740 rna-XR_002635851.1
LOC111110833 rna-XM_022447464.1
LOC111110875 rna-XM_022447526.1
LOC111110886 rna-XM_022447543.1
LOC111110910 rna-XM_022447579.1
LOC111110953 rna-XM_022447634.1
LOC111110961 rna-XM_022447644.1
LOC111111013 rna-XM_022447738.1
LOC111111019 rna-XM_022447749.1
LOC111111025 rna-XM_022447757.1
LOC111111047 rna-XM_022447784.1
LOC111111048 rna-XM_022447788.1
LOC111111054 rna-XM_022447795.1
LOC111111099 rna-XM_022447874.1
LOC111111114 rna-XM_022447896.1
LOC111111120 rna-XM_022447909.1
LOC111111125 rna-XM_022447924.1
LOC111111128 rna-XM_022447929.1
LOC111111168 rna-XM_022447987.1
LOC111111178 rna-XM_022447996.1
LOC111111209 rna-XR_002635983.1
LOC111111215 rna-XM_022448042.1
LOC111111219 rna-XM_022448056.1
LOC111111241 rna-XM_022448090.1
LOC111111289 rna-XM_022448164.1
LOC111111297 rna-XM_022448185.1
LOC111111320 rna-XM_022448223.1
LOC111111347 rna-XM_022448277.1
LOC111111358 rna-XM_022448291.1
LOC111111361 rna-XM_022448301.1
LOC111111402 rna-XM_022448386.1
LOC111111403 rna-XM_022448389.1
LOC111111407 rna-XM_022448390.1
LOC111111472 rna-XM_022448468.1
LOC111111514 rna-XM_022448533.1
LOC111111543 rna-XM_022448588.1
LOC111111545 rna-XR_002636056.1
LOC111111553 rna-XM_022448599.1
LOC111111557 rna-XM_022448604.1
LOC111111582 rna-XM_022448643.1
LOC111111593 rna-XM_022448657.1
LOC111111616 rna-XM_022448697.1
LOC111111620 rna-XM_022448704.1
LOC111111666 rna-XM_022448766.1
LOC111111680 rna-XM_022448795.1
LOC111111684 rna-XM_022448814.1
LOC111111690 rna-XM_022448809.1
LOC111111691 rna-XM_022448812.1
LOC111111721 rna-XM_022448870.1
LOC111111761 rna-XM_022448898.1
LOC111111780 rna-XM_022448933.1
LOC111111820 rna-XM_022448980.1
LOC111111855 rna-XM_022449022.1
LOC111111886 rna-XM_022449078.1
LOC111111918 rna-XM_022449110.1
LOC111111941 rna-XM_022449141.1
LOC111111998 rna-XM_022449232.1
LOC111112001 rna-XM_022449238.1
LOC111112011 rna-XM_022449283.1
LOC111112032 rna-XM_022449327.1
LOC111112036 rna-XM_022449331.1
LOC111112086 rna-XM_022449393.1
LOC111112126 rna-XM_022449463.1
LOC111112130 rna-XM_022449481.1
LOC111112135 rna-XM_022449492.1
LOC111112163 rna-XR_002636197.1
LOC111112173 rna-XR_002636199.1
LOC111112201 rna-XM_022449593.1
LOC111112202 rna-XM_022449598.1
LOC111112216 rna-XM_022449625.1
LOC111112227 rna-XM_022449643.1
LOC111112238 rna-XM_022449652.1
LOC111112266 rna-XR_002636236.1
LOC111112301 rna-XM_022449722.1
LOC111112352 rna-XM_022449803.1
LOC111112358 rna-XR_002636256.1
LOC111112365 rna-XM_022449817.1
LOC111112369 rna-XM_022449862.1
LOC111112388 rna-XR_002636258.1
LOC111112448 rna-XM_022449961.1
LOC111112452 rna-XM_022449955.1
LOC111112510 rna-XM_022450038.1
LOC111112517 rna-XM_022450056.1
LOC111112550 rna-XM_022450074.1
LOC111112559 rna-XM_022450088.1
