gene_name,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111136676,rna-XM_022487707.1,rna-XM_022487707.1,rna-XM_022487706.1,rna-XM_022487706.1
LOC111136677,rna-XM_022487713.1,rna-XM_022487713.1,rna-XM_022487713.1,rna-XM_022487713.1
LOC111136678,rna-XM_022487714.1,rna-XM_022487714.1,rna-XM_022487714.1,rna-XM_022487714.1
LOC111136679,rna-XM_022487715.1,rna-XM_022487715.1,rna-XM_022487715.1,rna-XM_022487715.1
LOC111136680,rna-XM_022487718.1,rna-XM_022487718.1,rna-XM_022487718.1,rna-XM_022487718.1
LOC111136681,rna-XM_022487719.1,rna-XM_022487719.1,rna-XM_022487719.1,rna-XM_022487719.1
LOC111136682,rna-XM_022487720.1,rna-XM_022487720.1,rna-XM_022487720.1,rna-XM_022487720.1
LOC111136683,rna-XM_022487723.1,rna-XM_022487723.1,rna-XM_022487723.1,rna-XM_022487723.1
LOC111136684,rna-XM_022487727.1,rna-XM_022487727.1,rna-XM_022487727.1,rna-XM_022487727.1
LOC111136685,rna-XM_022487728.1,rna-XM_022487728.1,rna-XM_022487728.1,rna-XM_022487728.1
LOC111136686,rna-XM_022487730.1,rna-XM_022487730.1,rna-XM_022487729.1,rna-XM_022487729.1
LOC111136687,rna-XM_022487732.1,rna-XM_022487732.1,rna-XM_022487732.1,rna-XM_022487732.1
LOC111136688,rna-XM_022487733.1,rna-XM_022487733.1,rna-XM_022487733.1,rna-XM_022487733.1
LOC111136689,rna-XM_022487734.1,rna-XM_022487734.1,rna-XM_022487734.1,rna-XM_022487734.1
LOC111136690,rna-XM_022487736.1,rna-XM_022487736.1,rna-XM_022487736.1,rna-XM_022487736.1
LOC111136691,rna-XM_022487738.1,rna-XM_022487738.1,rna-XM_022487738.1,rna-XM_022487738.1
LOC111136692,rna-XM_022487754.1,rna-XM_022487754.1,rna-XM_022487763.1,rna-XM_022487763.1
LOC111136693,rna-XM_022487752.1,rna-XM_022487752.1,rna-XM_022487752.1,rna-XM_022487752.1
LOC111136694,rna-XM_022487753.1,rna-XM_022487753.1,rna-XM_022487753.1,rna-XM_022487753.1
LOC111136695,rna-XM_022487755.1,rna-XM_022487755.1,rna-XM_022487755.1,rna-XM_022487755.1
LOC111136696,rna-XM_022487756.1,rna-XM_022487756.1,rna-XM_022487756.1,rna-XM_022487756.1
LOC111136697,rna-XM_022487757.1,rna-XM_022487757.1,rna-XM_022487757.1,rna-XM_022487757.1
LOC111136698,rna-XM_022487758.1,rna-XM_022487758.1,rna-XM_022487758.1,rna-XM_022487758.1
LOC111136699,rna-XM_022487761.1,rna-XM_022487761.1,rna-XM_022487764.1,rna-XM_022487764.1
LOC111136700,rna-XM_022487766.1,rna-XM_022487766.1,rna-XM_022487767.1,rna-XM_022487766.1
LOC111136701,rna-XM_022487768.1,rna-XM_022487768.1,rna-XM_022487768.1,rna-XM_022487768.1
LOC111136702,rna-XM_022487771.1,rna-XM_022487771.1,rna-XM_022487771.1,rna-XM_022487771.1
LOC111136703,rna-XM_022487776.1,rna-XM_022487776.1,rna-XM_022487776.1,rna-XM_022487776.1
LOC111136704,rna-XM_022487774.1,rna-XM_022487774.1,rna-XM_022487775.1,rna-XM_022487774.1
LOC111136705,rna-XM_022487777.1,rna-XM_022487777.1,rna-XM_022487777.1,rna-XM_022487777.1
LOC111136706,rna-XM_022487778.1,rna-XM_022487778.1,rna-XM_022487778.1,rna-XM_022487778.1
LOC111136707,rna-XM_022487779.1,rna-XM_022487779.1,rna-XM_022487779.1,rna-XM_022487779.1
LOC111136708,rna-XM_022487780.1,rna-XM_022487780.1,rna-XM_022487780.1,rna-XM_022487780.1
LOC111136709,rna-XM_022487784.1,rna-XM_022487784.1,rna-XM_022487784.1,rna-XM_022487784.1
LOC111136710,rna-XM_022487788.1,rna-XM_022487788.1,rna-XM_022487788.1,rna-XM_022487788.1
LOC111136711,rna-XM_022487785.1,rna-XM_022487785.1,rna-XM_022487785.1,rna-XM_022487785.1
LOC111136712,rna-XM_022487786.1,rna-XM_022487786.1,rna-XM_022487786.1,rna-XM_022487786.1
LOC111136713,rna-XM_022487787.1,rna-XM_022487787.1,rna-XM_022487787.1,rna-XM_022487787.1
LOC111136714,rna-XM_022487789.1,rna-XM_022487789.1,rna-XM_022487789.1,rna-XM_022487789.1
LOC111136715,rna-XM_022487790.1,rna-XM_022487790.1,rna-XM_022487790.1,rna-XM_022487790.1
LOC111136716,rna-XM_022487793.1,rna-XM_022487793.1,rna-XM_022487793.1,rna-XM_022487793.1
