gene_name,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111106824,rna-XM_022441650.1,rna-XM_022441650.1,rna-XM_022441650.1,rna-XM_022441650.1
LOC111106825,rna-XR_002635291.1,rna-XR_002635291.1,rna-XR_002635291.1,rna-XR_002635291.1
LOC111106826,rna-XM_022441653.1,rna-XM_022441653.1,rna-XM_022441653.1,rna-XM_022441653.1
LOC111106827,rna-XM_022441654.1,rna-XM_022441654.1,rna-XM_022441654.1,rna-XM_022441654.1
LOC111106828,rna-XM_022441655.1,rna-XM_022441655.1,rna-XM_022441655.1,rna-XM_022441655.1
LOC111106829,gene-LOC111106829,gene-LOC111106829,gene-LOC111106829,gene-LOC111106829
LOC111106830,rna-XM_022441662.1,rna-XM_022441662.1,rna-XM_022441671.1,rna-XM_022441657.1
LOC111106831,rna-XM_022441700.1,rna-XM_022441700.1,rna-XM_022441700.1,rna-XM_022441700.1
LOC111106832,rna-XM_022441664.1,rna-XM_022441664.1,rna-XM_022441664.1,rna-XM_022441664.1
LOC111106833,rna-XM_022441679.1,rna-XM_022441679.1,rna-XM_022441679.1,rna-XM_022441679.1
LOC111106834,rna-XM_022441675.1,rna-XM_022441675.1,rna-XM_022441675.1,rna-XM_022441675.1
LOC111106835,rna-XM_022441677.1,rna-XM_022441677.1,rna-XM_022441677.1,rna-XM_022441677.1
LOC111106836,rna-XM_022441678.1,rna-XM_022441678.1,rna-XM_022441678.1,rna-XM_022441678.1
LOC111106837,rna-XM_022441683.1,rna-XM_022441681.1,rna-XM_022441681.1,rna-XM_022441683.1
LOC111106838,gene-LOC111106838,gene-LOC111106838,gene-LOC111106838,gene-LOC111106838
LOC111106839,rna-XM_022441684.1,rna-XM_022441684.1,rna-XM_022441684.1,rna-XM_022441684.1
LOC111106840,rna-XM_022441685.1,rna-XM_022441685.1,rna-XM_022441685.1,rna-XM_022441685.1
LOC111106841,rna-XM_022441689.1,rna-XM_022441689.1,rna-XM_022441689.1,rna-XM_022441689.1
LOC111106842,rna-XR_002635297.1,rna-XR_002635297.1,rna-XR_002635297.1,rna-XR_002635297.1
LOC111106843,rna-XM_022441687.1,rna-XM_022441687.1,rna-XM_022441687.1,rna-XM_022441687.1
LOC111106844,rna-XM_022441692.1,rna-XM_022441692.1,rna-XM_022441692.1,rna-XM_022441692.1
LOC111106845,rna-XM_022441693.1,rna-XM_022441693.1,rna-XM_022441693.1,rna-XM_022441693.1
LOC111106846,rna-XM_022441694.1,rna-XM_022441694.1,rna-XM_022441694.1,rna-XM_022441694.1
LOC111106847,rna-XM_022441695.1,rna-XM_022441695.1,rna-XM_022441695.1,rna-XM_022441695.1
LOC111106848,rna-XM_022441696.1,rna-XM_022441696.1,rna-XM_022441696.1,rna-XM_022441696.1
LOC111106849,rna-XM_022441697.1,rna-XM_022441697.1,rna-XM_022441697.1,rna-XM_022441697.1
LOC111106850,rna-XM_022441701.1,rna-XM_022441701.1,rna-XM_022441701.1,rna-XM_022441701.1
LOC111106851,rna-XR_002635298.1,rna-XR_002635298.1,rna-XR_002635298.1,rna-XR_002635298.1
LOC111106852,rna-XM_022441698.1,rna-XM_022441698.1,rna-XM_022441698.1,rna-XM_022441698.1
LOC111106853,rna-XR_002635299.1,rna-XR_002635299.1,rna-XR_002635299.1,rna-XR_002635299.1
LOC111106854,rna-XM_022441702.1,rna-XM_022441702.1,rna-XM_022441702.1,rna-XM_022441702.1
LOC111106855,rna-XM_022442097.1,rna-XM_022442097.1,rna-XM_022442097.1,rna-XM_022442097.1
LOC111106856,rna-XR_002635300.1,rna-XR_002635300.1,rna-XR_002635300.1,rna-XR_002635300.1
LOC111106857,rna-XM_022441704.1,rna-XM_022441704.1,rna-XM_022441704.1,rna-XM_022441704.1
LOC111106858,rna-XM_022441705.1,rna-XM_022441705.1,rna-XM_022441705.1,rna-XM_022441705.1
LOC111106859,rna-XM_022441706.1,rna-XM_022441706.1,rna-XM_022441706.1,rna-XM_022441706.1
LOC111106860,rna-XM_022441714.1,rna-XM_022441714.1,rna-XM_022441714.1,rna-XM_022441714.1
LOC111106861,rna-XM_022441711.1,rna-XM_022441711.1,rna-XM_022441712.1,rna-XM_022441712.1
LOC111106862,rna-XM_022441718.1,rna-XM_022441718.1,rna-XM_022441718.1,rna-XM_022441718.1
LOC111106863,rna-XM_022441723.1,rna-XM_022441723.1,rna-XM_022441723.1,rna-XM_022441723.1
LOC111106864,rna-XM_022441727.1,rna-XM_022441727.1,rna-XM_022441727.1,rna-XM_022441727.1
LOC111106865,rna-XR_002635301.1,rna-XR_002635301.1,rna-XR_002635301.1,rna-XR_002635301.1
LOC111106866,rna-XM_022441725.1,rna-XM_022441725.1,rna-XM_022441725.1,rna-XM_022441725.1
LOC111106867,rna-XM_022441726.1,rna-XM_022441729.1,rna-XM_022441728.1,rna-XM_022441729.1
LOC111106868,rna-XM_022441730.1,rna-XM_022441730.1,rna-XM_022441730.1,rna-XM_022441730.1
LOC111106869,rna-XM_022441732.1,rna-XM_022441732.1,rna-XM_022441732.1,rna-XM_022441732.1
LOC111106870,rna-XM_022441733.1,rna-XM_022441733.1,rna-XM_022441733.1,rna-XM_022441733.1
LOC111106871,rna-XM_022441734.1,rna-XM_022441734.1,rna-XM_022441734.1,rna-XM_022441734.1
LOC111106872,rna-XM_022441739.1,rna-XM_022441739.1,rna-XM_022441739.1,rna-XM_022441739.1
LOC111106873,rna-XR_002635302.1,rna-XR_002635302.1,rna-XR_002635302.1,rna-XR_002635302.1
LOC111106874,rna-XM_022441743.1,rna-XM_022441741.1,rna-XM_022441737.1,rna-XM_022441737.1
LOC111106875,rna-XM_022441746.1,rna-XM_022441746.1,rna-XM_022441746.1,rna-XM_022441746.1
LOC111106876,rna-XR_002635305.1,rna-XR_002635305.1,rna-XR_002635306.1,rna-XR_002635306.1
LOC111106877,rna-XR_002635307.1,rna-XR_002635307.1,rna-XR_002635307.1,rna-XR_002635307.1
LOC111106878,rna-XM_022441750.1,rna-XM_022441750.1,rna-XM_022441750.1,rna-XM_022441750.1
LOC111106879,rna-XM_022441747.1,rna-XM_022441747.1,rna-XM_022441747.1,rna-XM_022441747.1
LOC111106880,rna-XM_022441748.1,rna-XM_022441748.1,rna-XM_022441748.1,rna-XM_022441748.1
LOC111106881,rna-XM_022441749.1,rna-XM_022441749.1,rna-XM_022441749.1,rna-XM_022441749.1
LOC111106882,rna-XM_022441751.1,rna-XM_022441751.1,rna-XM_022441751.1,rna-XM_022441751.1
LOC111106883,rna-XM_022441752.1,rna-XM_022441752.1,rna-XM_022441752.1,rna-XM_022441752.1
LOC111106884,rna-XM_022441753.1,rna-XM_022441753.1,rna-XM_022441753.1,rna-XM_022441753.1
LOC111106885,rna-XM_022441756.1,rna-XM_022441756.1,rna-XM_022441756.1,rna-XM_022441756.1
LOC111106886,rna-XM_022441763.1,rna-XM_022441763.1,rna-XM_022441763.1,rna-XM_022441763.1
LOC111106887,rna-XM_022441760.1,rna-XM_022441760.1,rna-XM_022441760.1,rna-XM_022441760.1
LOC111106888,rna-XM_022441761.1,rna-XM_022441761.1,rna-XM_022441761.1,rna-XM_022441761.1
LOC111106889,rna-XM_022441762.1,rna-XM_022441762.1,rna-XM_022441762.1,rna-XM_022441762.1
LOC111106890,rna-XM_022441765.1,rna-XM_022441765.1,rna-XM_022441765.1,rna-XM_022441765.1
LOC111106891,rna-XM_022441772.1,rna-XM_022441772.1,rna-XM_022441772.1,rna-XM_022441772.1
LOC111106892,rna-XM_022441776.1,rna-XM_022441776.1,rna-XM_022441776.1,rna-XM_022441776.1
LOC111106893,rna-XM_022441773.1,rna-XM_022441773.1,rna-XM_022441773.1,rna-XM_022441773.1
LOC111106894,rna-XM_022441774.1,rna-XM_022441774.1,rna-XM_022441774.1,rna-XM_022441774.1
LOC111106895,rna-XM_022441775.1,rna-XM_022441775.1,rna-XM_022441775.1,rna-XM_022441775.1
LOC111106896,rna-XM_022441777.1,rna-XM_022441777.1,rna-XM_022441777.1,rna-XM_022441777.1
LOC111106897,rna-XM_022441778.1,rna-XM_022441778.1,rna-XM_022441778.1,rna-XM_022441778.1
LOC111106898,rna-XM_022441779.1,rna-XM_022441779.1,rna-XM_022441779.1,rna-XM_022441779.1
LOC111106899,rna-XM_022441780.1,rna-XM_022441780.1,rna-XM_022441780.1,rna-XM_022441780.1
LOC111106900,rna-XM_022441782.1,rna-XM_022441782.1,rna-XM_022441781.1,rna-XM_022441782.1
LOC111106901,rna-XR_002635311.1,rna-XR_002635311.1,rna-XR_002635311.1,rna-XR_002635311.1
LOC111106902,rna-XM_022441815.1,rna-XM_022441815.1,rna-XM_022441815.1,rna-XM_022441815.1
LOC111106903,rna-XM_022441786.1,rna-XM_022441786.1,rna-XM_022441786.1,rna-XM_022441786.1
LOC111106904,rna-XM_022441784.1,rna-XM_022441784.1,rna-XM_022441784.1,rna-XM_022441784.1
LOC111106905,rna-XM_022441785.1,rna-XM_022441785.1,rna-XM_022441785.1,rna-XM_022441785.1
LOC111106906,rna-XR_002635312.1,rna-XR_002635312.1,rna-XR_002635312.1,rna-XR_002635312.1
LOC111106907,rna-XM_022441788.1,rna-XM_022441788.1,rna-XM_022441788.1,rna-XM_022441788.1
LOC111106908,rna-XM_022441789.1,rna-XM_022441789.1,rna-XM_022441789.1,rna-XM_022441789.1
LOC111106909,rna-XM_022441790.1,rna-XM_022441790.1,rna-XM_022441790.1,rna-XM_022441790.1
LOC111106910,rna-XM_022441791.1,rna-XM_022441791.1,rna-XM_022441791.1,rna-XM_022441791.1
LOC111106911,rna-XM_022441792.1,rna-XM_022441792.1,rna-XM_022441792.1,rna-XM_022441792.1
LOC111106912,rna-XM_022441793.1,rna-XM_022441793.1,rna-XM_022441793.1,rna-XM_022441793.1
LOC111106913,rna-XM_022441796.1,rna-XM_022441796.1,rna-XM_022441796.1,rna-XM_022441796.1
LOC111106914,rna-XM_022441794.1,rna-XM_022441794.1,rna-XM_022441794.1,rna-XM_022441794.1
LOC111106915,rna-XR_002635313.1,rna-XR_002635314.1,rna-XR_002635313.1,rna-XR_002635314.1
LOC111106916,rna-XM_022441795.1,rna-XM_022441795.1,rna-XM_022441795.1,rna-XM_022441795.1
LOC111106917,rna-XM_022441797.1,rna-XM_022441797.1,rna-XM_022441797.1,rna-XM_022441797.1
LOC111106918,rna-XM_022441799.1,rna-XM_022441799.1,rna-XM_022441799.1,rna-XM_022441799.1
LOC111106919,rna-XM_022441800.1,rna-XM_022441800.1,rna-XM_022441800.1,rna-XM_022441800.1
LOC111106920,rna-XM_022441801.1,rna-XM_022441801.1,rna-XM_022441801.1,rna-XM_022441801.1
LOC111106921,rna-XM_022441802.1,rna-XM_022441802.1,rna-XM_022441802.1,rna-XM_022441802.1
LOC111106922,rna-XM_022441803.1,rna-XM_022441803.1,rna-XM_022441803.1,rna-XM_022441803.1
LOC111106923,rna-XM_022441807.1,rna-XM_022441807.1,rna-XM_022441807.1,rna-XM_022441807.1
LOC111106924,rna-XM_022441804.1,rna-XM_022441804.1,rna-XM_022441804.1,rna-XM_022441804.1
LOC111106925,rna-XM_022441805.1,rna-XM_022441805.1,rna-XM_022441805.1,rna-XM_022441805.1
LOC111106926,rna-XM_022441806.1,rna-XM_022441806.1,rna-XM_022441808.1,rna-XM_022441808.1
LOC111106927,rna-XM_022441809.1,rna-XM_022441809.1,rna-XM_022441809.1,rna-XM_022441809.1
LOC111106928,rna-XM_022441810.1,rna-XM_022441810.1,rna-XM_022441810.1,rna-XM_022441810.1
LOC111106929,rna-XM_022441811.1,rna-XM_022441811.1,rna-XM_022441811.1,rna-XM_022441811.1
LOC111106930,rna-XM_022441812.1,rna-XM_022441812.1,rna-XM_022441812.1,rna-XM_022441812.1
LOC111106931,rna-XR_002635315.1,rna-XR_002635315.1,rna-XR_002635315.1,rna-XR_002635315.1
LOC111106932,rna-XR_002635316.1,rna-XR_002635316.1,rna-XR_002635316.1,rna-XR_002635316.1
LOC111106933,rna-XR_002635317.1,rna-XR_002635317.1,rna-XR_002635317.1,rna-XR_002635317.1
LOC111106934,rna-XM_022441816.1,rna-XM_022441816.1,rna-XM_022441816.1,rna-XM_022441816.1
LOC111106935,rna-XM_022441813.1,rna-XM_022441813.1,rna-XM_022441813.1,rna-XM_022441813.1
LOC111106936,rna-XM_022441814.1,rna-XM_022441814.1,rna-XM_022441814.1,rna-XM_022441814.1
LOC111106937,rna-XM_022441817.1,rna-XM_022441817.1,rna-XM_022441817.1,rna-XM_022441817.1
LOC111106938,rna-XM_022441818.1,rna-XM_022441818.1,rna-XM_022441818.1,rna-XM_022441818.1
LOC111106939,rna-XM_022441819.1,rna-XM_022441819.1,rna-XM_022441819.1,rna-XM_022441819.1
LOC111106940,rna-XM_022441820.1,rna-XM_022441821.1,rna-XM_022441821.1,rna-XM_022441821.1
LOC111106941,rna-XM_022441822.1,rna-XM_022441822.1,rna-XM_022441822.1,rna-XM_022441822.1
LOC111106942,rna-XM_022441823.1,rna-XM_022441823.1,rna-XM_022441823.1,rna-XM_022441823.1
LOC111106943,rna-XM_022441828.1,rna-XM_022441828.1,rna-XM_022441828.1,rna-XM_022441828.1
LOC111106944,rna-XM_022441829.1,rna-XM_022441829.1,rna-XM_022441824.1,rna-XM_022441824.1
LOC111106945,rna-XM_022441830.1,rna-XM_022441830.1,rna-XM_022441830.1,rna-XM_022441830.1
LOC111106946,rna-XM_022441831.1,rna-XM_022441831.1,rna-XM_022441831.1,rna-XM_022441831.1
LOC111106947,rna-XM_022441833.1,rna-XM_022441833.1,rna-XM_022441833.1,rna-XM_022441833.1
LOC111106948,rna-XM_022441834.1,rna-XM_022441834.1,rna-XM_022441834.1,rna-XM_022441834.1
LOC111106949,rna-XM_022441838.1,rna-XM_022441838.1,rna-XM_022441839.1,rna-XM_022441839.1
LOC111106950,rna-XM_022441841.1,rna-XM_022441841.1,rna-XM_022441841.1,rna-XM_022441841.1
LOC111106951,rna-XM_022441840.1,rna-XM_022441840.1,rna-XM_022441840.1,rna-XM_022441840.1
LOC111106952,rna-XM_022441844.1,rna-XM_022441844.1,rna-XM_022441844.1,rna-XM_022441844.1
LOC111106953,rna-XM_022441846.1,rna-XM_022441846.1,rna-XM_022441846.1,rna-XM_022441846.1
LOC111106954,rna-XM_022441848.1,rna-XM_022441848.1,rna-XM_022441848.1,rna-XM_022441848.1
LOC111106955,rna-XM_022441849.1,rna-XM_022441849.1,rna-XM_022441850.1,rna-XM_022441850.1
LOC111106956,rna-XM_022441854.1,rna-XM_022441854.1,rna-XM_022441854.1,rna-XM_022441854.1
LOC111106957,rna-XM_022441851.1,rna-XM_022441851.1,rna-XM_022441851.1,rna-XM_022441851.1
LOC111106958,rna-XM_022441852.1,rna-XM_022441852.1,rna-XM_022441852.1,rna-XM_022441852.1
LOC111106959,rna-XM_022441855.1,rna-XM_022441855.1,rna-XM_022441855.1,rna-XM_022441855.1
LOC111106960,rna-XM_022441856.1,rna-XM_022441856.1,rna-XM_022441856.1,rna-XM_022441856.1
LOC111106961,rna-XM_022441857.1,rna-XM_022441857.1,rna-XM_022441857.1,rna-XM_022441857.1
LOC111106962,rna-XM_022441858.1,rna-XM_022441858.1,rna-XM_022441858.1,rna-XM_022441858.1
LOC111106963,rna-XM_022441859.1,rna-XM_022441859.1,rna-XM_022441859.1,rna-XM_022441859.1
LOC111106964,rna-XM_022441860.1,rna-XM_022441860.1,rna-XM_022441860.1,rna-XM_022441860.1
LOC111106965,rna-XM_022441861.1,rna-XM_022441861.1,rna-XM_022441861.1,rna-XM_022441861.1
LOC111106966,rna-XM_022441866.1,rna-XM_022441866.1,rna-XM_022441866.1,rna-XM_022441866.1
LOC111106967,rna-XM_022441862.1,rna-XM_022441862.1,rna-XM_022441867.1,rna-XM_022441867.1
LOC111106968,rna-XM_022441869.1,rna-XM_022441869.1,rna-XM_022441869.1,rna-XM_022441869.1
LOC111106969,rna-XM_022441871.1,rna-XM_022441871.1,rna-XM_022441871.1,rna-XM_022441871.1
LOC111106970,rna-XM_022441872.1,rna-XM_022441872.1,rna-XM_022441872.1,rna-XM_022441872.1
LOC111106971,rna-XM_022441873.1,rna-XM_022441873.1,rna-XM_022441873.1,rna-XM_022441873.1
LOC111106972,rna-XR_002635318.1,rna-XR_002635318.1,rna-XR_002635318.1,rna-XR_002635318.1
LOC111106973,rna-XM_022441878.1,rna-XM_022441878.1,rna-XM_022441878.1,rna-XM_022441878.1
LOC111106974,rna-XM_022441874.1,rna-XM_022441874.1,rna-XM_022441874.1,rna-XM_022441874.1
LOC111106975,rna-XM_022441877.1,rna-XM_022441877.1,rna-XM_022441877.1,rna-XM_022441876.1
LOC111106976,rna-XM_022441879.1,rna-XM_022441879.1,rna-XM_022441879.1,rna-XM_022441879.1
LOC111106977,rna-XM_022441881.1,rna-XM_022441881.1,rna-XM_022441881.1,rna-XM_022441881.1
LOC111106978,rna-XM_022441882.1,rna-XM_022441882.1,rna-XM_022441882.1,rna-XM_022441882.1
LOC111106979,rna-XM_022441883.1,rna-XM_022441884.1,rna-XM_022441884.1,rna-XM_022441884.1
LOC111106980,rna-XM_022441902.1,rna-XM_022441902.1,rna-XM_022441886.1,rna-XM_022441886.1
LOC111106981,rna-XM_022441892.1,rna-XM_022441892.1,rna-XM_022441892.1,rna-XM_022441892.1
LOC111106982,rna-XR_002635327.1,rna-XR_002635327.1,rna-XR_002635327.1,rna-XR_002635327.1
LOC111106983,rna-XM_022441907.1,rna-XM_022441907.1,rna-XM_022441907.1,rna-XM_022441907.1
LOC111106984,rna-XM_022441905.1,rna-XM_022441905.1,rna-XM_022441905.1,rna-XM_022441905.1
LOC111106985,rna-XM_022441906.1,rna-XM_022441906.1,rna-XM_022441906.1,rna-XM_022441906.1
LOC111106986,rna-XR_002635319.1,rna-XR_002635319.1,rna-XR_002635319.1,rna-XR_002635319.1
LOC111106987,rna-XM_022441908.1,rna-XM_022441908.1,rna-XM_022441908.1,rna-XM_022441908.1
LOC111106988,rna-XM_022441909.1,rna-XM_022441909.1,rna-XM_022441909.1,rna-XM_022441909.1
LOC111106989,rna-XM_022441911.1,rna-XM_022441910.1,rna-XM_022441910.1,rna-XM_022441910.1
LOC111106990,rna-XM_022441924.1,rna-XM_022441924.1,rna-XM_022441924.1,rna-XM_022441924.1
LOC111106991,rna-XM_022441914.1,rna-XM_022441914.1,rna-XM_022441914.1,rna-XM_022441914.1
LOC111106992,rna-XM_022441916.1,rna-XM_022441916.1,rna-XM_022441915.1,rna-XM_022441915.1
LOC111106993,rna-XM_022441919.1,rna-XM_022441919.1,rna-XM_022441919.1,rna-XM_022441919.1
LOC111106994,rna-XM_022441921.1,rna-XM_022441921.1,rna-XM_022441921.1,rna-XM_022441921.1
LOC111106995,rna-XM_022441922.1,rna-XM_022441922.1,rna-XM_022441922.1,rna-XM_022441922.1
LOC111106996,rna-XR_002635322.1,rna-XR_002635321.1,rna-XR_002635321.1,rna-XR_002635322.1
LOC111106997,rna-XR_002635323.1,rna-XR_002635323.1,rna-XR_002635323.1,rna-XR_002635323.1
LOC111106998,rna-XM_022441923.1,rna-XM_022441923.1,rna-XM_022441923.1,rna-XM_022441923.1
LOC111106999,rna-XM_022441925.1,rna-XM_022441925.1,rna-XM_022441925.1,rna-XM_022441925.1
LOC111107000,rna-XM_022441926.1,rna-XM_022441926.1,rna-XM_022441926.1,rna-XM_022441926.1
LOC111107001,rna-XR_002635324.1,rna-XR_002635324.1,rna-XR_002635324.1,rna-XR_002635324.1
LOC111107002,rna-XM_022441927.1,rna-XM_022441927.1,rna-XM_022441927.1,rna-XM_022441927.1
LOC111107003,rna-XR_002635325.1,rna-XR_002635325.1,rna-XR_002635325.1,rna-XR_002635325.1
LOC111107004,rna-XM_022441928.1,rna-XM_022441928.1,rna-XM_022441928.1,rna-XM_022441928.1
LOC111107005,rna-XM_022441929.1,rna-XM_022441929.1,rna-XM_022441929.1,rna-XM_022441929.1
LOC111107006,rna-XM_022441933.1,rna-XM_022441933.1,rna-XM_022441933.1,rna-XM_022441933.1
LOC111107007,rna-XR_002635326.1,rna-XR_002635326.1,rna-XR_002635326.1,rna-XR_002635326.1
LOC111107008,rna-XM_022441930.1,rna-XM_022441930.1,rna-XM_022441930.1,rna-XM_022441930.1
LOC111107009,rna-XM_022441932.1,rna-XM_022441932.1,rna-XM_022441934.1,rna-XM_022441934.1
LOC111107010,rna-XM_022441937.1,rna-XM_022441937.1,rna-XM_022441937.1,rna-XM_022441937.1
LOC111107011,rna-XR_002635328.1,rna-XR_002635328.1,rna-XR_002635328.1,rna-XR_002635328.1
LOC111107012,rna-XR_002635329.1,rna-XR_002635329.1,rna-XR_002635329.1,rna-XR_002635329.1
LOC111107013,rna-XM_022441938.1,rna-XM_022441938.1,rna-XM_022441938.1,rna-XM_022441938.1
LOC111107014,rna-XM_022441943.1,rna-XM_022441939.1,rna-XM_022441940.1,rna-XM_022441940.1
LOC111107015,rna-XM_022441944.1,rna-XM_022441944.1,rna-XM_022441944.1,rna-XM_022441944.1
LOC111107016,rna-XR_002635331.1,rna-XR_002635331.1,rna-XR_002635331.1,rna-XR_002635331.1
LOC111107017,rna-XM_022441945.1,rna-XM_022441945.1,rna-XM_022441945.1,rna-XM_022441945.1
LOC111107018,rna-XM_022441946.1,rna-XM_022441946.1,rna-XM_022441946.1,rna-XM_022441946.1
LOC111107019,rna-XM_022441950.1,rna-XM_022441949.1,rna-XM_022441949.1,rna-XM_022441949.1
LOC111107020,rna-XM_022441957.1,rna-XM_022441957.1,rna-XM_022441957.1,rna-XM_022441957.1
LOC111107021,rna-XM_022441955.1,rna-XM_022441955.1,rna-XM_022441955.1,rna-XM_022441955.1
LOC111107022,rna-XM_022441956.1,rna-XM_022441956.1,rna-XM_022441956.1,rna-XM_022441956.1
LOC111107023,rna-XM_022441959.1,rna-XM_022441959.1,rna-XM_022441959.1,rna-XM_022441959.1
LOC111107024,rna-XM_022441960.1,rna-XM_022441960.1,rna-XM_022441960.1,rna-XM_022441960.1
LOC111107025,rna-XM_022441962.1,rna-XM_022441962.1,rna-XM_022441962.1,rna-XM_022441962.1
LOC111107026,rna-XM_022441965.1,rna-XM_022441965.1,rna-XM_022441965.1,rna-XM_022441965.1
LOC111107027,rna-XR_002635332.1,rna-XR_002635332.1,rna-XR_002635332.1,rna-XR_002635332.1
LOC111107028,rna-XM_022441970.1,rna-XM_022441970.1,rna-XM_022441970.1,rna-XM_022441970.1
LOC111107029,rna-XM_022441967.1,rna-XM_022441967.1,rna-XM_022441968.1,rna-XM_022441968.1
LOC111107030,rna-XR_002635333.1,rna-XR_002635333.1,rna-XR_002635333.1,rna-XR_002635333.1
LOC111107031,rna-XR_002635334.1,rna-XR_002635334.1,rna-XR_002635334.1,rna-XR_002635334.1
LOC111107032,rna-XM_022441975.1,rna-XM_022441974.1,rna-XM_022441974.1,rna-XM_022441974.1
LOC111107033,rna-XM_022441976.1,rna-XM_022441976.1,rna-XM_022441976.1,rna-XM_022441976.1
LOC111107034,rna-XM_022441977.1,rna-XM_022441977.1,rna-XM_022441977.1,rna-XM_022441977.1
LOC111107035,rna-XM_022442018.1,rna-XM_022442018.1,rna-XM_022442018.1,rna-XM_022442018.1
LOC111107036,rna-XM_022441981.1,rna-XM_022441981.1,rna-XM_022441981.1,rna-XM_022441981.1
LOC111107037,rna-XM_022441978.1,rna-XM_022441978.1,rna-XM_022441978.1,rna-XM_022441978.1
LOC111107038,rna-XM_022441979.1,rna-XM_022441979.1,rna-XM_022441979.1,rna-XM_022441979.1
LOC111107039,rna-XM_022441980.1,rna-XM_022441980.1,rna-XM_022441980.1,rna-XM_022441980.1
LOC111107040,rna-XM_022441983.1,rna-XM_022441985.1,rna-XM_022441985.1,rna-XM_022441983.1
LOC111107041,rna-XM_022441987.1,rna-XM_022441987.1,rna-XM_022441987.1,rna-XM_022441987.1
LOC111107042,rna-XM_022441989.1,rna-XM_022441989.1,rna-XM_022441989.1,rna-XM_022441989.1
LOC111107043,rna-XM_022441990.1,rna-XM_022441990.1,rna-XM_022441990.1,rna-XM_022441990.1
LOC111107044,rna-XM_022441994.1,rna-XM_022441994.1,rna-XM_022441994.1,rna-XM_022441994.1
LOC111107045,rna-XM_022441991.1,rna-XM_022441991.1,rna-XM_022441991.1,rna-XM_022441991.1
LOC111107046,rna-XM_022441995.1,rna-XM_022441995.1,rna-XM_022441992.1,rna-XM_022441992.1
LOC111107047,rna-XM_022441998.1,rna-XM_022441998.1,rna-XM_022441998.1,rna-XM_022441998.1
LOC111107048,rna-XM_022442000.1,rna-XM_022442000.1,rna-XM_022442000.1,rna-XM_022442000.1
LOC111107049,rna-XR_002635335.1,rna-XR_002635335.1,rna-XR_002635335.1,rna-XR_002635335.1
LOC111107050,rna-XR_002635336.1,rna-XR_002635336.1,rna-XR_002635336.1,rna-XR_002635336.1
LOC111107051,rna-XM_022442005.1,rna-XM_022442005.1,rna-XM_022442005.1,rna-XM_022442005.1
LOC111107052,rna-XM_022442002.1,rna-XM_022442002.1,rna-XM_022442002.1,rna-XM_022442002.1
LOC111107053,rna-XM_022442003.1,rna-XM_022442003.1,rna-XM_022442003.1,rna-XM_022442003.1
LOC111107054,rna-XM_022442004.1,rna-XM_022442004.1,rna-XM_022442004.1,rna-XM_022442004.1
LOC111107055,rna-XR_002635337.1,rna-XR_002635337.1,rna-XR_002635337.1,rna-XR_002635337.1
LOC111107056,rna-XM_022442006.1,rna-XM_022442006.1,rna-XM_022442006.1,rna-XM_022442006.1
LOC111107057,rna-XM_022442008.1,rna-XM_022442008.1,rna-XM_022442007.1,rna-XM_022442007.1
LOC111107058,rna-XM_022442013.1,rna-XM_022442011.1,rna-XM_022442009.1,rna-XM_022442009.1
LOC111107059,rna-XM_022442019.1,rna-XM_022442019.1,rna-XM_022442019.1,rna-XM_022442019.1
LOC111107060,rna-XM_022442015.1,rna-XM_022442015.1,rna-XM_022442015.1,rna-XM_022442015.1
LOC111107061,rna-XM_022442017.1,rna-XM_022442017.1,rna-XM_022442017.1,rna-XM_022442017.1
LOC111107062,rna-XM_022442023.1,rna-XM_022442023.1,rna-XM_022442023.1,rna-XM_022442023.1
LOC111107063,rna-XM_022442025.1,rna-XM_022442025.1,rna-XM_022442025.1,rna-XM_022442025.1
LOC111107064,rna-XM_022442030.1,rna-XM_022442030.1,rna-XM_022442028.1,rna-XM_022442028.1
LOC111107065,rna-XM_022442034.1,rna-XM_022442034.1,rna-XM_022442034.1,rna-XM_022442034.1
LOC111107066,rna-XM_022442037.1,rna-XM_022442037.1,rna-XM_022442037.1,rna-XM_022442037.1
LOC111107067,rna-XM_022442038.1,rna-XM_022442038.1,rna-XM_022442038.1,rna-XM_022442038.1
LOC111107068,rna-XM_022442040.1,rna-XM_022442040.1,rna-XM_022442040.1,rna-XM_022442040.1
LOC111107069,gene-LOC111107069,gene-LOC111107069,gene-LOC111107069,gene-LOC111107069
LOC111107070,rna-XM_022442043.1,rna-XM_022442043.1,rna-XM_022442043.1,rna-XM_022442043.1
LOC111107071,rna-XR_002635338.1,rna-XR_002635338.1,rna-XR_002635338.1,rna-XR_002635338.1
LOC111107072,rna-XR_002635339.1,rna-XR_002635339.1,rna-XR_002635339.1,rna-XR_002635339.1
LOC111107073,rna-XM_022442042.1,rna-XM_022442042.1,rna-XM_022442042.1,rna-XM_022442042.1
LOC111107074,rna-XR_002635340.1,rna-XR_002635340.1,rna-XR_002635340.1,rna-XR_002635340.1
LOC111107075,rna-XR_002635341.1,rna-XR_002635341.1,rna-XR_002635341.1,rna-XR_002635341.1
LOC111107076,rna-XR_002635342.1,rna-XR_002635342.1,rna-XR_002635342.1,rna-XR_002635342.1
