LOC111104451 rna-XM_022438417.1
LOC111104453 rna-XR_002634927.1
LOC111104461 rna-XM_022438433.1
LOC111104497 rna-XR_002634897.1
LOC111104501 rna-XM_022438492.1
LOC111104526 rna-XM_022438531.1
LOC111104531 rna-XM_022438538.1
LOC111104591 rna-XM_022438609.1
LOC111104625 rna-XM_022438654.1
LOC111104629 rna-XM_022438687.1
LOC111104650 rna-XM_022438713.1
LOC111104660 rna-XM_022438726.1
LOC111104721 rna-XM_022438815.1
LOC111104729 rna-XM_022438832.1
LOC111104732 rna-XM_022438836.1
LOC111104769 rna-XM_022438884.1
LOC111104783 rna-XM_022438908.1
LOC111104784 rna-XM_022438915.1
LOC111104807 rna-XR_002634969.1
LOC111104820 rna-XM_022438959.1
LOC111104823 rna-XM_022438964.1
LOC111104830 rna-XM_022438979.1
LOC111104834 rna-XM_022438982.1
LOC111105230 rna-XM_022439393.1
LOC111105262 rna-XM_022439443.1
LOC111105274 rna-XM_022439465.1
LOC111105304 rna-XM_022439502.1
LOC111105312 rna-XM_022439528.1
LOC111105317 rna-XM_022439537.1
LOC111105356 rna-XM_022439596.1
LOC111105362 rna-XR_002635017.1
LOC111105367 rna-XM_022439624.1
LOC111105368 rna-XM_022439666.1
LOC111105397 rna-XM_022439686.1
LOC111105405 rna-XM_022439685.1
LOC111105431 rna-XM_022439722.1
LOC111105450 rna-XM_022439762.1
LOC111105478 rna-XR_002635042.1
LOC111105494 rna-XM_022439816.1
LOC111105496 rna-XM_022439822.1
LOC111105509 rna-XM_022439847.1
LOC111105510 rna-XM_022439848.1
LOC111105516 rna-XM_022439861.1
LOC111105545 rna-XM_022439890.1
LOC111105547 rna-XM_022439892.1
LOC111105575 rna-XM_022439932.1
LOC111105619 rna-XM_022439998.1
LOC111105624 rna-XM_022439995.1
LOC111105631 rna-XM_022440002.1
LOC111105636 rna-XM_022440015.1
LOC111105679 rna-XM_022440028.1
LOC111105686 rna-XM_022440041.1
LOC111105688 rna-XM_022440047.1
LOC111105708 rna-XM_022440067.1
LOC111105754 rna-XM_022440134.1
LOC111105770 rna-XM_022440155.1
LOC111105801 rna-XR_002635114.1
LOC111105807 rna-XM_022440629.1
LOC111105812 rna-XM_022440213.1
LOC111105824 rna-XM_022440226.1
LOC111105830 rna-XM_022440252.1
LOC111105835 rna-XM_022440274.1
LOC111105840 rna-XM_022440278.1
LOC111105855 rna-XM_022440308.1
LOC111105856 rna-XM_022440309.1
LOC111105880 rna-XM_022440339.1
LOC111105920 rna-XM_022440402.1
LOC111105921 rna-XM_022440412.1
LOC111105923 rna-XM_022440419.1
LOC111105939 rna-XR_002635133.1
LOC111105949 rna-XM_022440458.1
LOC111105983 rna-XM_022440501.1
LOC111106042 rna-XM_022440559.1
LOC111106057 rna-XM_022440581.1
LOC111106139 rna-XM_022440687.1
LOC111106142 rna-XM_022440691.1
LOC111106152 rna-XM_022440700.1
LOC111106175 rna-XR_002635178.1
LOC111106199 rna-XM_022440764.1
LOC111106214 rna-XM_022440793.1
LOC111106219 rna-XM_022440802.1
