gene_name	t_name	Predom_exp
LOC111099187	rna-XR_002633653.1	0.102663833333333
LOC111099188	rna-XM_022430598.1	0.0577313333333333
LOC111099189	rna-XR_002633654.1	0.637524333333333
LOC111099190	rna-XM_022430599.1	0.215382
LOC111099191	rna-XM_022430603.1	1.07202466666667
LOC111099192	rna-XM_022430601.1	4.33252716666667
LOC111099193	rna-XM_022430602.1	2.35256483333333
LOC111099194	rna-XM_022430620.1	2.64996383333333
LOC111099195	rna-XM_022430618.1	63.3741458333333
LOC111099196	rna-XM_022430627.1	4.63833083333333
LOC111099197	rna-XM_022430630.1	3.06486533333333
LOC111099198	rna-XR_002633658.1	0.104258
LOC111099199	rna-XM_022430628.1	1.0799825
LOC111099200	rna-XM_022430631.1	2.10629733333333
LOC111099201	rna-XM_022430632.1	4.04112566666667
LOC111099202	rna-XM_022430633.1	1.96852866666667
LOC111099203	rna-XM_022430634.1	11.0250598333333
LOC111099204	rna-XM_022430635.1	0.0272006666666667
LOC111099205	rna-XM_022430636.1	0.375306833333333
LOC111099206	rna-XM_022430637.1	5.29411683333333
LOC111099207	rna-XM_022430642.1	2.3619205
LOC111099208	rna-XR_002633660.1	0.2441745
LOC111099209	rna-XM_022430641.1	5.07422816666667
LOC111099210	rna-XM_022430643.1	2.9341275
LOC111099211	rna-XM_022430644.1	6.6467965
LOC111099212	rna-XM_022430645.1	4.91702483333333
LOC111099213	rna-XM_022430646.1	0.263591833333333
LOC111099214	rna-XM_022430647.1	0.712987833333333
LOC111099215	rna-XM_022430648.1	8.993215
LOC111099216	rna-XM_022430649.1	4.33761316666667
LOC111099217	rna-XM_022430671.1	1.57059566666667
LOC111099218	rna-XM_022430650.1	19.356885
LOC111099219	rna-XM_022430651.1	10.4929123333333
LOC111099220	rna-XM_022430654.1	6.43601216666667
LOC111099221	rna-XM_022430655.1	5.0850645
LOC111099222	rna-XM_022430656.1	8.919303
LOC111099223	rna-XR_002633661.1	0.362191333333333
LOC111099224	rna-XM_022430664.1	0.907708666666667
LOC111099225	rna-XM_022430665.1	0.519878833333333
LOC111099226	rna-XM_022430666.1	5.98644833333333
LOC111099227	rna-XM_022430667.1	12.4264541666667
LOC111099228	rna-XM_022430670.1	0.717180833333333
LOC111099229	rna-XM_022430672.1	0.355913166666667
LOC111099230	rna-XM_022430674.1	0.388500833333333
LOC111099246	rna-XM_022430676.1	0.0672055
LOC111099262	rna-XM_022430677.1	1.68906366666667
LOC111099278	rna-XR_002633662.1	2.774552
LOC111099289	rna-XR_002633663.1	0.819383333333333
LOC111099300	rna-XM_022430678.1	12.5909453333333
LOC111099316	rna-XM_022430684.1	1.577412
LOC111099327	rna-XM_022430681.1	14.6388796666667
LOC111099343	rna-XM_022430682.1	9.03041016666667
LOC111099359	rna-XM_022430683.1	7.46882533333333
LOC111099375	rna-XM_022430686.1	3.41273583333333
LOC111099408	rna-XR_002633664.1	9.84984666666667
LOC111099409	rna-XM_022430688.1	0
LOC111099410	rna-XM_022430691.1	2.159976
LOC111099411	rna-XR_002633665.1	0.0744423333333333
LOC111099412	rna-XR_002633666.1	0
LOC111099413	rna-XM_022430690.1	0.0273276666666667
LOC111099414	rna-XM_022430692.1	0.451438
LOC111099415	rna-XM_022430694.1	0.183801
LOC111099416	rna-XR_002633667.1	0.391421833333333
LOC111099417	rna-XM_022430695.1	34.3046343333333
LOC111099418	rna-XM_022430696.1	0.507548166666667
LOC111099419	rna-XM_022430697.1	0.6764465
LOC111099420	rna-XM_022430700.1	1.87945783333333
LOC111099421	rna-XM_022430698.1	1.54421433333333
LOC111099422	rna-XR_002633668.1	0.0756385
LOC111099423	rna-XM_022430699.1	0.230579666666667
LOC111099424	rna-XM_022430701.1	3.043783
LOC111099425	rna-XM_022430702.1	0.0405625
LOC111099426	rna-XM_022430705.1	6.87015066666667
LOC111099427	rna-XM_022430708.1	5.87438033333333
LOC111099428	rna-XM_022430711.1	2.01426966666667
LOC111099429	rna-XM_022430712.1	0.461004166666667
LOC111099430	rna-XM_022430713.1	0.0640163333333333
LOC111099431	rna-XR_002633669.1	0.315058333333333
LOC111099432	rna-XM_022430715.1	0.0399441666666667
LOC111099433	rna-XR_002633670.1	0.1165475
