LOC111101050 rna-XM_022433353.1
LOC111101055 rna-XM_022433315.1
LOC111101056 rna-XM_022433322.1
LOC111101060 rna-XM_022433334.1
LOC111101067 rna-XM_022433343.1
LOC111101076 rna-XM_022433357.1
LOC111101101 rna-XM_022433402.1
LOC111101102 rna-XM_022433408.1
LOC111101103 rna-XM_022433410.1
LOC111101110 rna-XM_022433420.1
LOC111101115 rna-XM_022433425.1
LOC111101117 rna-XM_022433430.1
LOC111101136 rna-XM_022433462.1
LOC111101137 rna-XM_022433469.1
LOC111101138 rna-XR_002634206.1
LOC111101148 rna-XM_022433487.1
LOC111101152 rna-XM_022433499.1
LOC111101163 rna-XM_022433511.1
LOC111101166 rna-XM_022433523.1
LOC111101185 rna-XM_022433575.1
LOC111101190 rna-XM_022433561.1
LOC111101201 rna-XM_022433578.1
LOC111101258 rna-XM_022433695.1
LOC111101270 rna-XR_002634226.1
LOC111101301 rna-XR_002634250.1
LOC111101312 rna-XR_002634254.1
LOC111101313 rna-XM_022433764.1
LOC111101329 rna-XM_022433779.1
LOC111101349 rna-XM_022433805.1
LOC111101360 rna-XR_002634263.1
LOC111101370 rna-XM_022433833.1
LOC111101381 rna-XM_022433849.1
LOC111101394 rna-XM_022433866.1
LOC111101405 rna-XM_022433882.1
LOC111101447 rna-XM_022433937.1
LOC111101449 rna-XM_022433940.1
LOC111101462 rna-XR_002634292.1
LOC111101489 rna-XM_022434001.1
LOC111101503 rna-XR_002634299.1
LOC111101518 rna-XM_022434042.1
LOC111101541 rna-XM_022434063.1
LOC111101550 rna-XM_022434084.1
LOC111101603 rna-XM_022434179.1
LOC111101612 rna-XM_022434162.1
LOC111101621 rna-XM_022434181.1
LOC111101629 rna-XR_002634344.1
LOC111101647 rna-XM_022434224.1
LOC111101652 rna-XM_022434233.1
LOC111101659 rna-XM_022434247.1
LOC111101675 rna-XR_002634359.1
LOC111101680 rna-XM_022434263.1
LOC111101736 rna-XM_022434324.1
LOC111101750 rna-XM_022434348.1
LOC111101751 rna-XM_022434357.1
LOC111101752 rna-XM_022434351.1
LOC111101763 rna-XM_022434364.1
LOC111101772 rna-XM_022434375.1
LOC111101786 rna-XM_022434389.1
LOC111101787 rna-XM_022434391.1
LOC111101792 rna-XR_002634397.1
LOC111101812 rna-XM_022434419.1
LOC111101814 rna-XM_022434425.1
LOC111101820 rna-XM_022434438.1
LOC111101822 rna-XM_022434441.1
LOC111101823 rna-XR_002634405.1
LOC111101848 rna-XM_022434470.1
LOC111101852 rna-XM_022434474.1
LOC111101853 rna-XM_022434478.1
LOC111101854 rna-XR_002634417.1
LOC111101867 rna-XM_022434503.1
LOC111101869 rna-XR_002634423.1
LOC111101871 rna-XR_002634426.1
LOC111101872 rna-XM_022434508.1
LOC111101896 rna-XM_022434549.1
LOC111102233 rna-XM_022434890.1
LOC111102235 rna-XM_022434894.1
LOC111102237 rna-XM_022434951.1
LOC111102238 rna-XM_022434896.1
