gene_name	t_name	Predom_exp
LOC111099103	rna-XM_022430468.1	3.44756283333333
LOC111099104	rna-XM_022430471.1	18.9200703333333
LOC111099105	rna-XM_022430472.1	10.8748373333333
LOC111099106	rna-XM_022430475.1	1.83617683333333
LOC111099107	rna-XM_022430477.1	0.2383025
LOC111099108	rna-XM_022430478.1	2.72377033333333
LOC111099109	rna-XM_022430482.1	6.461667
LOC111099110	rna-XM_022430479.1	5.31489966666667
LOC111099111	rna-XM_022430480.1	0.468129
LOC111099112	rna-XM_022430481.1	28.4285128333333
LOC111099113	rna-XR_002633630.1	0.0264633333333333
LOC111099114	rna-XR_002633631.1	13.2184161666667
LOC111099115	rna-XM_022430483.1	8.23012466666667
LOC111099116	rna-XM_022430484.1	0.0534868333333333
LOC111099117	rna-XM_022430485.1	0.119152
LOC111099118	rna-XM_022430486.1	0.288887
LOC111099119	rna-XM_022430487.1	1.4054565
LOC111099120	rna-XM_022430488.1	5.8680275
LOC111099121	rna-XM_022430492.1	0.438103
LOC111099122	rna-XM_022430490.1	15.2783313333333
LOC111099123	rna-XM_022430493.1	17.549917
LOC111099124	rna-XM_022430494.1	0.5865975
LOC111099125	rna-XM_022430496.1	1.15377283333333
LOC111099126	rna-XM_022430500.1	0.0510008333333333
LOC111099127	rna-XM_022430503.1	0.691720833333333
LOC111099128	rna-XM_022430506.1	0.0553911666666667
LOC111099129	rna-XR_002633633.1	0.7734405
LOC111099130	rna-XM_022430507.1	0.150485833333333
LOC111099131	rna-XM_022430508.1	0.0246881666666667
LOC111099132	rna-XR_002633634.1	0.759865666666667
LOC111099133	rna-XM_022430511.1	0.031015
LOC111099134	rna-XM_022430520.1	0
LOC111099135	rna-XM_022430517.1	0.475642
LOC111099136	rna-XR_002633642.1	1.25967466666667
LOC111099137	rna-XM_022430521.1	0.146495666666667
LOC111099138	rna-XM_022430522.1	4.33743216666667
LOC111099139	rna-XM_022430524.1	0.154015666666667
LOC111099140	rna-XM_022430525.1	5.79122366666667
LOC111099141	rna-XM_022430526.1	0.1638
LOC111099142	rna-XR_002633643.1	0.132658333333333
LOC111099143	rna-XM_022430529.1	177.283659
LOC111099144	rna-XR_002633644.1	0
LOC111099145	rna-XR_002633645.1	0.611734666666667
LOC111099146	rna-XM_022430528.1	0.614568833333333
LOC111099147	rna-XM_022430531.1	7.00107933333333
LOC111099148	rna-XM_022430533.1	0.1955705
LOC111099149	rna-XR_002633647.1	0.0507008333333333
LOC111099150	rna-XM_022430534.1	0.7160635
LOC111099151	rna-XM_022430542.1	0.434204
LOC111099152	rna-XM_022430539.1	1.5865895
LOC111099153	rna-XM_022430541.1	1.499044
LOC111099154	rna-XM_022430543.1	0.2189945
LOC111099155	rna-XM_022430544.1	0.666948833333333
LOC111099156	rna-XM_022430545.1	4.20646033333333
LOC111099157	rna-XM_022430550.1	2.96422316666667
LOC111099158	rna-XM_022430565.1	0.331227833333333
LOC111099159	rna-XR_002633648.1	0.0482306666666667
LOC111099160	rna-XR_002633649.1	0
LOC111099161	rna-XM_022430566.1	0.0963811666666667
LOC111099162	rna-XM_022430568.1	26.3229621666667
LOC111099163	rna-XM_022430569.1	0.504149166666667
LOC111099164	rna-XM_022430570.1	0.1378155
LOC111099165	rna-XM_022430573.1	0.441880833333333
LOC111099166	rna-XM_022430571.1	0.293825333333333
LOC111099167	rna-XR_002633650.1	0.0544583333333333
LOC111099168	rna-XM_022430572.1	48.5760973333333
LOC111099169	rna-XM_022430574.1	6.27172566666667
LOC111099170	rna-XM_022430575.1	0
LOC111099171	rna-XM_022430576.1	0.5863895
LOC111099172	rna-XM_022430582.1	20.7128848333333
LOC111099173	rna-XM_022430583.1	0
