"","gene","Sample.ID","Treatment","Sex","mean","sem"
"145","gene-LOC111116198","48M","Exposed","M",0.137342679487179,0.0435720493897385
"146","gene-LOC111116198","50F","Exposed","F",0.291177666666667,0.0956162521768042
"147","gene-LOC111116198","52F","Control","F",0.385358025641026,0.124913114167454
"148","gene-LOC111116198","53F","Control","F",0.140899307692308,0.0530798106609343
"149","gene-LOC111116198","54F","Control","F",0.441737756410256,0.130914672263885
"150","gene-LOC111116198","59M","Exposed","M",0.202165179487179,0.0699999661634944
"151","gene-LOC111116198","64M","Control","M",0.208324384615385,0.0680349960378667
"152","gene-LOC111116198","6M","Control","M",0.288640243589744,0.105922275209174
"153","gene-LOC111116198","76F","Control","F",0.219781230769231,0.0665862267143733
"154","gene-LOC111116198","77F","Exposed","F",0.145106064102564,0.060016256661079
"155","gene-LOC111116198","7M","Control","M",0.139268743589744,0.0562081713269837
"156","gene-LOC111116198","9M","Exposed","M",0.213236833333333,0.0597480928894266
"157","gene-LOC111116203","12M","Exposed","M",0.3125,0.3125
"158","gene-LOC111116203","13M","Control","M",0.2941176,0.2941176
"159","gene-LOC111116203","16F","Control","F",0,0
"160","gene-LOC111116203","19F","Control","F",0,0
"161","gene-LOC111116203","22F","Exposed","F",0.625,0.625
"162","gene-LOC111116203","23M","Exposed","M",0.3333333,0.3333333
"163","gene-LOC111116203","29F","Exposed","F",1.7383459,1.07882719228819
"164","gene-LOC111116203","31M","Exposed","M",0,0
"165","gene-LOC111116203","35F","Exposed","F",0,0
"166","gene-LOC111116203","36F","Exposed","F",0,0
"167","gene-LOC111116203","39F","Control","F",0.2941176,0.2941176
"168","gene-LOC111116203","3F","Exposed","F",0,0
"169","gene-LOC111116203","41F","Exposed","F",0.4347826,0.4347826
"170","gene-LOC111116203","44F","Control","F",0.2272727,0.2272727
"171","gene-LOC111116203","48M","Exposed","M",0.6666667,0.6666667
"172","gene-LOC111116203","50F","Exposed","F",0.4,0.4
"173","gene-LOC111116203","52F","Control","F",0.2040816,0.2040816
"174","gene-LOC111116203","53F","Control","F",0,0
"175","gene-LOC111116203","54F","Control","F",0.9818182,0.800459007255015
"176","gene-LOC111116203","59M","Exposed","M",0,0
"177","gene-LOC111116203","64M","Control","M",0.4545455,0.4545455
"178","gene-LOC111116203","6M","Control","M",0,0
"179","gene-LOC111116203","76F","Control","F",0,0
"180","gene-LOC111116203","77F","Exposed","F",1.8060273,0.853140553861334
"181","gene-LOC111116203","7M","Control","M",0.715198,0.477178616682964
"182","gene-LOC111116203","9M","Exposed","M",0.4,0.4
"183","gene-LOC111116204","12M","Exposed","M",3.52516626666667,1.92205005563211
"184","gene-LOC111116204","13M","Control","M",1.44381386666667,0.593981004577466
"185","gene-LOC111116204","16F","Control","F",0.502737933333333,0.223372481027702
"186","gene-LOC111116204","19F","Control","F",1.55396826666667,0.73081578489297
"187","gene-LOC111116204","22F","Exposed","F",0.652777733333333,0.349121763727629
"188","gene-LOC111116204","23M","Exposed","M",0.425590733333333,0.229657995808021
"189","gene-LOC111116204","29F","Exposed","F",0.988446733333333,0.819380731489351
"190","gene-LOC111116204","31M","Exposed","M",1.41035986666667,0.489778067480032
"191","gene-LOC111116204","35F","Exposed","F",2.52768486666667,1.07504905404429
"192","gene-LOC111116204","36F","Exposed","F",0.9615932,0.316241523441291
"193","gene-LOC111116204","39F","Control","F",1.87233286666667,0.75627925060569
"194","gene-LOC111116204","3F","Exposed","F",0.392156866666667,0.392156866666667
"195","gene-LOC111116204","41F","Exposed","F",1.20697173333333,0.6475559056529
"196","gene-LOC111116204","44F","Control","F",2.45444453333333,0.912711497261716
"197","gene-LOC111116204","48M","Exposed","M",0.290381133333333,0.202755328006392
"198","gene-LOC111116204","50F","Exposed","F",2.13275613333333,0.957487727236617
"199","gene-LOC111116204","52F","Control","F",0.876573333333333,0.418016770461353
"200","gene-LOC111116204","53F","Control","F",1.65458093333333,0.630572165077638
"201","gene-LOC111116204","54F","Control","F",1.21889606666667,0.689364792300913
"202","gene-LOC111116204","59M","Exposed","M",0.819152266666667,0.310256288263267
"203","gene-LOC111116204","64M","Control","M",0.983197266666667,0.439922024314813
"204","gene-LOC111116204","6M","Control","M",0.703718933333333,0.31379530812618
"205","gene-LOC111116204","76F","Control","F",2.15194366666667,0.77682685083201
"206","gene-LOC111116204","77F","Exposed","F",4.57416906666667,2.82360086121152
"207","gene-LOC111116204","7M","Control","M",0.272108866666667,0.272108866666667
"208","gene-LOC111116204","9M","Exposed","M",0.816326533333333,0.816326533333333
"209","gene-LOC111116207","12M","Exposed","M",0,NA
"210","gene-LOC111116207","13M","Control","M",5.882353,NA
"211","gene-LOC111116207","16F","Control","F",0,NA
"212","gene-LOC111116207","19F","Control","F",0,NA
"213","gene-LOC111116207","22F","Exposed","F",9.090909,NA
"214","gene-LOC111116207","23M","Exposed","M",0,NA
"215","gene-LOC111116207","29F","Exposed","F",0,NA
"216","gene-LOC111116207","31M","Exposed","M",0,NA
"217","gene-LOC111116207","35F","Exposed","F",0,NA
"218","gene-LOC111116207","36F","Exposed","F",0,NA
"219","gene-LOC111116207","39F","Control","F",0,NA
"220","gene-LOC111116207","3F","Exposed","F",0,NA
"221","gene-LOC111116207","41F","Exposed","F",0,NA
"222","gene-LOC111116207","44F","Control","F",0,NA
"223","gene-LOC111116207","48M","Exposed","M",0,NA
"224","gene-LOC111116207","50F","Exposed","F",0,NA
"225","gene-LOC111116207","52F","Control","F",0,NA
"226","gene-LOC111116207","53F","Control","F",0,NA
"227","gene-LOC111116207","54F","Control","F",0,NA
"228","gene-LOC111116207","59M","Exposed","M",7.692308,NA
"229","gene-LOC111116207","64M","Control","M",0,NA
"230","gene-LOC111116207","6M","Control","M",0,NA
"231","gene-LOC111116207","76F","Control","F",4.444444,NA
"232","gene-LOC111116207","77F","Exposed","F",0,NA
"233","gene-LOC111116207","7M","Control","M",0,NA
"234","gene-LOC111116207","9M","Exposed","M",0,NA
"235","gene-LOC111116209","12M","Exposed","M",0.225794578947368,0.112375090358049
"236","gene-LOC111116209","13M","Control","M",0.241578473684211,0.0937443180703716
"237","gene-LOC111116209","16F","Control","F",0.423245578947368,0.182573674000359
"238","gene-LOC111116209","19F","Control","F",0.309476342105263,0.148417075968953
"239","gene-LOC111116209","22F","Exposed","F",0.4153635,0.201910755298784
"240","gene-LOC111116209","23M","Exposed","M",0.359641815789474,0.148450341041253
"241","gene-LOC111116209","29F","Exposed","F",0.252398684210526,0.142729518872144
"242","gene-LOC111116209","31M","Exposed","M",0.307423894736842,0.154455044686276
"243","gene-LOC111116209","35F","Exposed","F",0.250740289473684,0.14191671182658
"244","gene-LOC111116209","36F","Exposed","F",0.524766131578947,0.219592291540495
"245","gene-LOC111116209","39F","Control","F",0.319088447368421,0.154403203600925
"246","gene-LOC111116209","3F","Exposed","F",0.298712131578947,0.146998086792613
"247","gene-LOC111116209","41F","Exposed","F",0.0939849736842105,0.0939849736842105
"248","gene-LOC111116209","44F","Control","F",1.06938668421053,0.5471108184831
"249","gene-LOC111116209","48M","Exposed","M",0.334909289473684,0.135385309285771
"250","gene-LOC111116209","50F","Exposed","F",0.114416473684211,0.114416473684211
"251","gene-LOC111116209","52F","Control","F",0.281353289473684,0.135028077974121
"252","gene-LOC111116209","53F","Control","F",0.353684342105263,0.153149901791731
"253","gene-LOC111116209","54F","Control","F",0.261854368421053,0.126943922728571
"254","gene-LOC111116209","59M","Exposed","M",0.310480157894737,0.18013587538215
"255","gene-LOC111116209","64M","Control","M",0.142343684210526,0.103169320902455
"256","gene-LOC111116209","6M","Control","M",0.180087605263158,0.0871368549383089
"257","gene-LOC111116209","76F","Control","F",0.318951736842105,0.137323385554181
"258","gene-LOC111116209","77F","Exposed","F",0.405745157894737,0.173111905498941
"259","gene-LOC111116209","7M","Control","M",0.274546289473684,0.142096665060709
"260","gene-LOC111116209","9M","Exposed","M",0.294165552631579,0.148338687420452
"261","gene-LOC111116211","12M","Exposed","M",0.77991734351145,0.143147913190925
"262","gene-LOC111116211","13M","Control","M",0.615071320610687,0.111623784171291
"263","gene-LOC111116211","16F","Control","F",1.21435285496183,0.26286824109336
"264","gene-LOC111116211","19F","Control","F",1.21652632061069,0.25242797218543
"265","gene-LOC111116211","22F","Exposed","F",1.04753529007634,0.204648936943893
"266","gene-LOC111116211","23M","Exposed","M",1.30307032824427,0.280871432776902
"267","gene-LOC111116211","29F","Exposed","F",0.655455007633588,0.12593761309967
"268","gene-LOC111116211","31M","Exposed","M",0.46321913740458,0.118724471417451
"269","gene-LOC111116211","35F","Exposed","F",1.09497980152672,0.211071585413698
"270","gene-LOC111116211","36F","Exposed","F",0.871877160305344,0.170460671685794
"271","gene-LOC111116211","39F","Control","F",0.689553358778626,0.106376611480916
"272","gene-LOC111116211","3F","Exposed","F",1.56976121374046,0.357713613794903
"273","gene-LOC111116211","41F","Exposed","F",1.44570073282443,0.323157874944434
"274","gene-LOC111116211","44F","Control","F",1.34037535114504,0.26119487897878
"275","gene-LOC111116211","48M","Exposed","M",0.328848244274809,0.0781226282285658
"276","gene-LOC111116211","50F","Exposed","F",0.646044022900763,0.12386518531212
"277","gene-LOC111116211","52F","Control","F",1.09423853435115,0.154471253636793
"278","gene-LOC111116211","53F","Control","F",0.94626213740458,0.145800897768484
"279","gene-LOC111116211","54F","Control","F",1.19606492366412,0.26705259978741
"280","gene-LOC111116211","59M","Exposed","M",0.353614732824428,0.10608968773568
"281","gene-LOC111116211","64M","Control","M",1.06700306870229,0.251904058397103
"282","gene-LOC111116211","6M","Control","M",0.451310938931298,0.117166747840708
"283","gene-LOC111116211","76F","Control","F",0.546606832061069,0.105270712029992
"284","gene-LOC111116211","77F","Exposed","F",1.15688967938931,0.238299440164818
"285","gene-LOC111116211","7M","Control","M",1.98835716793893,0.46615103722214
"286","gene-LOC111116211","9M","Exposed","M",0.416292908396947,0.101712694090971
"287","gene-LOC111116213","12M","Exposed","M",5.24781342857143,5.24781342857143
"288","gene-LOC111116213","13M","Control","M",0.615832571428571,0.340638666766096
"289","gene-LOC111116213","16F","Control","F",0,0
"290","gene-LOC111116213","19F","Control","F",0.386100428571429,0.386100428571429
"291","gene-LOC111116213","22F","Exposed","F",0.793650857142857,0.793650857142857
"292","gene-LOC111116213","23M","Exposed","M",1.78571428571429,1.2390868777561
"293","gene-LOC111116213","29F","Exposed","F",0,0
"294","gene-LOC111116213","31M","Exposed","M",0.255102,0.255102
"295","gene-LOC111116213","35F","Exposed","F",0,0
"296","gene-LOC111116213","36F","Exposed","F",0,0
"297","gene-LOC111116213","39F","Control","F",1.06837614285714,0.795409965254229
"298","gene-LOC111116213","3F","Exposed","F",0,0
"299","gene-LOC111116213","41F","Exposed","F",0,0
"300","gene-LOC111116213","44F","Control","F",0.357142857142857,0.357142857142857
"301","gene-LOC111116213","48M","Exposed","M",0.879120857142857,0.879120857142857
"302","gene-LOC111116213","50F","Exposed","F",0.420168,0.420168
"303","gene-LOC111116213","52F","Control","F",1.02040814285714,1.02040814285714
"304","gene-LOC111116213","53F","Control","F",0,0
"305","gene-LOC111116213","54F","Control","F",0,0
"306","gene-LOC111116213","59M","Exposed","M",0,0
"307","gene-LOC111116213","64M","Control","M",0,0
"308","gene-LOC111116213","6M","Control","M",1.29870128571429,1.29870128571429
"309","gene-LOC111116213","76F","Control","F",0,0
"310","gene-LOC111116213","77F","Exposed","F",0.539083428571429,0.34797685684559
"311","gene-LOC111116213","7M","Control","M",0,0
"312","gene-LOC111116213","9M","Exposed","M",0,0
"313","gene-LOC111116214","12M","Exposed","M",2.49081290740741,1.20259672441106
"314","gene-LOC111116214","13M","Control","M",0.90136012962963,0.718913667326178
"315","gene-LOC111116214","16F","Control","F",0.316607555555556,0.117478882183531
"316","gene-LOC111116214","19F","Control","F",0.169722055555556,0.073828637962131
"317","gene-LOC111116214","22F","Exposed","F",0.481085703703704,0.19356678295488
"318","gene-LOC111116214","23M","Exposed","M",0.145090018518519,0.0654748001924514
"319","gene-LOC111116214","29F","Exposed","F",0.652696888888889,0.220511491342817
"320","gene-LOC111116214","31M","Exposed","M",1.06860211111111,0.877847492416826
"321","gene-LOC111116214","35F","Exposed","F",0.203954814814815,0.0938866032173971
"322","gene-LOC111116214","36F","Exposed","F",0.451172055555556,0.201027425660408
"323","gene-LOC111116214","39F","Control","F",0.206077722222222,0.0919302476551244
"324","gene-LOC111116214","3F","Exposed","F",0.246387518518519,0.103230151751128
"325","gene-LOC111116214","41F","Exposed","F",0.0851538518518519,0.0596462064105045
"326","gene-LOC111116214","44F","Control","F",0.400419259259259,0.186577294821272
