gene_name,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,difference,avg_meth_control,avg_meth_exposed,change_meth,avg_exp_control,avg_exp_exposed,change_exp,start,end,meth.diff,DMLcount
LOC111135878,6,5,-1,0.528988708513971,0.455305729311996,-0.0736829792019748,1.32602282911184,0.733087387582237,-0.592935441529604,NA,NA,NA,0
LOC111135880,1,1,0,59.9364977325853,61.1920298092526,1.25553207666729,29.874736375,34.90639575,5.031659375,NA,NA,NA,0
LOC111135881,1,1,0,55.6655777153707,55.8096794142709,0.144101698900172,6.198353875,5.452382375,-0.7459715,NA,NA,NA,0
LOC111135882,2,2,0,52.142581587282,48.6836577464461,-3.45892384083587,11.8650625858822,15.7786789969414,3.91361641105925,NA,NA,NA,0
LOC111135883,1,1,0,52.7126580699419,52.1521540309041,-0.560504039037738,0.18980925,0.0965275,-0.09328175,NA,NA,NA,0
LOC111135884,1,1,0,1.40638378054248,0.73759947434703,-0.668784306195448,0.194818375,0.51055,0.315731625,NA,NA,NA,0
LOC111135885,1,1,0,0.433071797828965,0.552454507591827,0.119382709762862,12.979521875,18.3229985,5.343476625,NA,NA,NA,0
LOC111135886,1,1,0,66.5546438262654,67.1143174131666,0.559673586901155,2.676552625,2.61367775,-0.0628748750000003,NA,NA,NA,0
LOC111135887,1,1,0,34.2783678666773,38.1636156221739,3.88524775549658,10.370375125,14.162766,3.792390875,NA,NA,NA,0
LOC111135888,3,3,0,50.3046764759615,53.5862691362804,3.28159266031885,2.65795336204744,2.21549713311486,-0.442456228932585,NA,NA,NA,0
LOC111135889,1,1,0,0.775910788090233,0.8118690111965,0.035958223106267,30.76141875,33.547845625,2.786426875,NA,NA,NA,0
LOC111135890,9,7,-2,62.6027158835199,61.1013108726039,-1.50140501091602,10.870661051904,5.01934772299165,-5.85131332891237,NA,NA,NA,0
LOC111135891,1,1,0,49.657764054494,50.3289044717185,0.671140417224436,4.743905125,5.35164725,0.607742125000001,NA,NA,NA,0
